seq_id,source,type,start,end,score,strand,phase,attributes
chromosome_09,JGI_gene,gene,1903495,1913214,.,-,.,ID=ChCC-v11019089m.g
chromosome_09,JGI_gene,gene,2105670,2107615,.,+,.,ID=ChCC-v11019165m.g
chromosome_09,JGI_gene,gene,2694175,2698339,.,+,.,ID=ChCC-v11019373m.g
chromosome_09,JGI_gene,gene,2696228,2700458,.,-,.,ID=ChCC-v11019374m.g
chromosome_09,JGI_gene,gene,2977344,2981074,.,+,.,ID=ChCC-v11019476m.g
chromosome_09,JGI_gene,gene,3049969,3053750,.,+,.,ID=ChCC-v11019504m.g
chromosome_09,JGI_gene,gene,3625221,3632976,.,-,.,ID=ChCC-v11019713m.g
chromosome_09,JGI_gene,gene,4660105,4661818,.,+,.,ID=ChCC-v11019959m.g
chromosome_09,JGI_gene,gene,6332794,6336443,.,+,.,ID=ChCC-v11020526m.g
chromosome_09,JGI_gene,gene,6525847,6531258,.,-,.,ID=ChCC-v11020609m.g
chromosome_09,JGI_gene,gene,6531027,6533523,.,+,.,ID=ChCC-v11020610m.g
chromosome_10,JGI_gene,gene,256009,256940,.,-,.,ID=ChCC-v11020794m.g
chromosome_10,JGI_gene,gene,1311118,1319060,.,-,.,ID=ChCC-v11021144m.g
chromosome_10,JGI_gene,gene,1500581,1507546,.,+,.,ID=ChCC-v11021210m.g
chromosome_10,JGI_gene,gene,1752207,1753418,.,-,.,ID=ChCC-v11021303m.g
chromosome_10,JGI_gene,gene,2738390,2742252,.,+,.,ID=ChCC-v11021687m.g
chromosome_10,JGI_gene,gene,2945029,2949255,.,+,.,ID=ChCC-v11021789m.g
chromosome_10,JGI_gene,gene,2951939,2961645,.,-,.,ID=ChCC-v11021796m.g
chromosome_10,JGI_gene,gene,4147313,4153629,.,+,.,ID=ChCC-v11022197m.g
chromosome_10,JGI_gene,gene,5648031,5656920,.,-,.,ID=ChCC-v11022669m.g
chromosome_10,JGI_gene,gene,6701357,6705065,.,-,.,ID=ChCC-v11023012m.g
chromosome_10,JGI_gene,gene,6718541,6721687,.,-,.,ID=ChCC-v11023021m.g
chromosome_11,JGI_gene,gene,85922,90623,.,-,.,ID=ChCC-v11023056m.g
chromosome_11,JGI_gene,gene,1248885,1252637,.,-,.,ID=ChCC-v11023411m.g
chromosome_11,JGI_gene,gene,1515782,1519537,.,-,.,ID=ChCC-v11023487m.g
chromosome_11,JGI_gene,gene,1539077,1546738,.,+,.,ID=ChCC-v11023497m.g
chromosome_11,JGI_gene,gene,2088246,2091671,.,+,.,ID=ChCC-v11023679m.g
chromosome_11,JGI_gene,gene,3063851,3067527,.,-,.,ID=ChCC-v11023956m.g
chromosome_11,JGI_gene,gene,3171446,3174058,.,-,.,ID=ChCC-v11023995m.g
chromosome_11,JGI_gene,gene,4210149,4217314,.,-,.,ID=ChCC-v11024301m.g
chromosome_12,JGI_gene,gene,1347827,1352660,.,-,.,ID=ChCC-v11024832m.g
chromosome_12,JGI_gene,gene,2318886,2323419,.,-,.,ID=ChCC-v11025236m.g
chromosome_12,JGI_gene,gene,3474745,3479574,.,+,.,ID=ChCC-v11025721m.g
chromosome_12,JGI_gene,gene,4474029,4476373,.,+,.,ID=ChCC-v11026151m.g
chromosome_12,JGI_gene,gene,4615488,4624829,.,-,.,ID=ChCC-v11026205m.g
chromosome_12,JGI_gene,gene,5016416,5025566,.,-,.,ID=ChCC-v11026341m.g
chromosome_12,JGI_gene,gene,5082183,5085891,.,+,.,ID=ChCC-v11026369m.g
chromosome_12,JGI_gene,gene,5298828,5309597,.,-,.,ID=ChCC-v11026488m.g
chromosome_12,JGI_gene,gene,5871150,5874595,.,-,.,ID=ChCC-v11026752m.g
chromosome_12,JGI_gene,gene,7105573,7110583,.,-,.,ID=ChCC-v11027109m.g
chromosome_12,JGI_gene,gene,7110579,7113591,.,+,.,ID=ChCC-v11027112m.g
chromosome_12,JGI_gene,gene,7653360,7655838,.,+,.,ID=ChCC-v11027312m.g
chromosome_12,JGI_gene,gene,9386686,9392615,.,-,.,ID=ChCC-v11027905m.g
chromosome_12,JGI_gene,gene,9708953,9713666,.,-,.,ID=ChCC-v11028002m.g
chromosome_13,JGI_gene,gene,1191779,1196487,.,+,.,ID=ChCC-v11028475m.g
chromosome_13,JGI_gene,gene,1489382,1493861,.,+,.,ID=ChCC-v11028595m.g
chromosome_13,JGI_gene,gene,1839956,1855810,.,-,.,ID=ChCC-v11028760m.g
chromosome_13,JGI_gene,gene,2710105,2714639,.,+,.,ID=ChCC-v11029056m.g
chromosome_13,JGI_gene,gene,2729840,2730567,.,-,.,ID=ChCC-v11029059m.g
chromosome_13,JGI_gene,gene,2831887,2835202,.,-,.,ID=ChCC-v11029090m.g
chromosome_13,JGI_gene,gene,4170426,4174602,.,-,.,ID=ChCC-v11029530m.g
chromosome_13,JGI_gene,gene,4870809,4874421,.,+,.,ID=ChCC-v11029745m.g
chromosome_13,JGI_gene,gene,4873769,4879966,.,-,.,ID=ChCC-v11029747m.g
chromosome_13,JGI_gene,gene,5006260,5009735,.,-,.,ID=ChCC-v11029800m.g
chromosome_14,JGI_gene,gene,63850,77261,.,+,.,ID=ChCC-v11029907m.g
chromosome_14,JGI_gene,gene,2089781,2098849,.,+,.,ID=ChCC-v11030499m.g
chromosome_14,JGI_gene,gene,3558621,3564737,.,-,.,ID=ChCC-v11030956m.g
chromosome_15,JGI_gene,gene,345515,354211,.,-,.,ID=ChCC-v11031242m.g
chromosome_16,JGI_gene,gene,43991,48017,.,-,.,ID=ChCC-v11032271m.g
chromosome_16,JGI_gene,gene,271010,276607,.,-,.,ID=ChCC-v11032362m.g
chromosome_16,JGI_gene,gene,420583,427282,.,+,.,ID=ChCC-v11032408m.g
chromosome_16,JGI_gene,gene,1382379,1387514,.,-,.,ID=ChCC-v11032745m.g
chromosome_16,JGI_gene,gene,1469643,1480608,.,+,.,ID=ChCC-v11032765m.g
chromosome_16,JGI_gene,gene,1553803,1557783,.,-,.,ID=ChCC-v11032792m.g
chromosome_16,JGI_gene,gene,2708923,2716091,.,-,.,ID=ChCC-v11033219m.g
chromosome_16,JGI_gene,gene,3077086,3081877,.,-,.,ID=ChCC-v11033351m.g
chromosome_16,JGI_gene,gene,3260449,3264455,.,-,.,ID=ChCC-v11033431m.g
chromosome_16,JGI_gene,gene,4395677,4403197,.,-,.,ID=ChCC-v11033782m.g
chromosome_16,JGI_gene,gene,6353433,6358647,.,+,.,ID=ChCC-v11034443m.g
chromosome_16,JGI_gene,gene,6990439,6997156,.,+,.,ID=ChCC-v11034655m.g
chromosome_16,JGI_gene,gene,8005998,8018210,.,+,.,ID=ChCC-v11035038m.g
chromosome_17,JGI_gene,gene,291362,294646,.,-,.,ID=ChCC-v11035147m.g
chromosome_17,JGI_gene,gene,955405,957706,.,+,.,ID=ChCC-v11035365m.g
chromosome_17,JGI_gene,gene,1055848,1063411,.,-,.,ID=ChCC-v11035395m.g
chromosome_17,JGI_gene,gene,1877842,1881503,.,-,.,ID=ChCC-v11035647m.g
chromosome_17,JGI_gene,gene,2817507,2823152,.,-,.,ID=ChCC-v11035995m.g
chromosome_17,JGI_gene,gene,3030610,3035065,.,+,.,ID=ChCC-v11036049m.g
chromosome_17,JGI_gene,gene,3086310,3092954,.,+,.,ID=ChCC-v11036072m.g
chromosome_17,JGI_gene,gene,3559508,3564748,.,+,.,ID=ChCC-v11036302m.g
chromosome_17,JGI_gene,gene,3775247,3778817,.,-,.,ID=ChCC-v11036405m.g
chromosome_17,JGI_gene,gene,4545156,4549884,.,+,.,ID=ChCC-v11036628m.g
chromosome_17,JGI_gene,gene,4616232,4626567,.,-,.,ID=ChCC-v11036663m.g
chromosome_17,JGI_gene,gene,5281347,5293749,.,-,.,ID=ChCC-v11036815m.g
chromosome_17,JGI_gene,gene,5315215,5316496,.,+,.,ID=ChCC-v11036822m.g
MT_plus_R,JGI_gene,gene,75370,90356,.,-,.,ID=Chreiv61e012031m.g
MT_plus_R,JGI_gene,gene,383667,387230,.,-,.,ID=Chreiv61e012111m.g
