seq_id	source	type	start	end	score	strand	phase	attributes	length
chromosome_01	JGI_gene	gene	313666	321223	.	-	.	ChCC-v11000102m.g	7557
chromosome_01	JGI_gene	gene	321010	336860	.	+	.	ChCC-v11000104m.g	15850
chromosome_01	JGI_gene	gene	336329	341254	.	-	.	ChCC-v11000108m.g	4925
chromosome_01	JGI_gene	gene	341432	345536	.	-	.	ChCC-v11000109m.g	4104
chromosome_01	JGI_gene	gene	345469	352542	.	+	.	ChCC-v11000112m.g	7073
chromosome_01	JGI_gene	gene	352512	356917	.	+	.	ChCC-v11000113m.g	4405
chromosome_01	JGI_gene	gene	356890	359968	.	-	.	ChCC-v11000118m.g	3078
chromosome_01	JGI_gene	gene	360068	362571	.	+	.	ChCC-v11000120m.g	2503
chromosome_01	JGI_gene	gene	360200	361875	.	+	.	ChCC-v11000121m.g	1675
chromosome_01	JGI_gene	gene	365909	367959	.	-	.	ChCC-v11000123m.g	2050
chromosome_01	JGI_gene	gene	367599	372579	.	+	.	ChCC-v11000124m.g	4980
chromosome_01	JGI_gene	gene	373014	376155	.	+	.	ChCC-v11000126m.g	3141
chromosome_01	JGI_gene	gene	376270	379888	.	+	.	ChCC-v11000128m.g	3618
chromosome_01	JGI_gene	gene	380382	383104	.	+	.	ChCC-v11000130m.g	2722
chromosome_01	JGI_gene	gene	384668	387190	.	-	.	ChCC-v11000133m.g	2522
chromosome_01	JGI_gene	gene	387642	398128	.	+	.	ChCC-v11000136m.g	10486
chromosome_01	JGI_gene	gene	399090	407596	.	-	.	ChCC-v11000138m.g	8506
chromosome_01	JGI_gene	gene	408851	411833	.	-	.	ChCC-v11000142m.g	2982
chromosome_01	JGI_gene	gene	411921	416846	.	+	.	ChCC-v11000143m.g	4925
chromosome_01	JGI_gene	gene	419194	421822	.	+	.	ChCC-v11000147m.g	2628
chromosome_01	JGI_gene	gene	423605	425693	.	+	.	ChCC-v11000148m.g	2088
chromosome_01	JGI_gene	gene	426173	434989	.	+	.	ChCC-v11000149m.g	8816
chromosome_01	JGI_gene	gene	435331	440086	.	+	.	ChCC-v11000151m.g	4755
chromosome_01	JGI_gene	gene	440513	484459	.	+	.	ChCC-v11000152m.g	43946
chromosome_01	JGI_gene	gene	487836	493984	.	+	.	ChCC-v11000153m.g	6148
chromosome_01	JGI_gene	gene	494931	495625	.	-	.	ChCC-v11000159m.g	694
chromosome_01	JGI_gene	gene	495677	500096	.	-	.	ChCC-v11000161m.g	4419
chromosome_01	JGI_gene	gene	499789	504956	.	+	.	ChCC-v11000163m.g	5167
chromosome_01	JGI_gene	gene	504933	515254	.	-	.	ChCC-v11000165m.g	10321
chromosome_01	JGI_gene	gene	515397	520594	.	+	.	ChCC-v11000166m.g	5197
chromosome_01	JGI_gene	gene	520558	526367	.	-	.	ChCC-v11000167m.g	5809
chromosome_01	JGI_gene	gene	526449	530312	.	+	.	ChCC-v11000168m.g	3863
chromosome_01	JGI_gene	gene	533383	538512	.	+	.	ChCC-v11000170m.g	5129
chromosome_01	JGI_gene	gene	538582	544849	.	-	.	ChCC-v11000171m.g	6267
chromosome_01	JGI_gene	gene	545203	550091	.	+	.	ChCC-v11000173m.g	4888
chromosome_01	JGI_gene	gene	550549	563692	.	+	.	ChCC-v11000176m.g	13143
chromosome_01	JGI_gene	gene	562469	568652	.	-	.	ChCC-v11000177m.g	6183
chromosome_01	JGI_gene	gene	569139	573478	.	-	.	ChCC-v11000178m.g	4339
chromosome_01	JGI_gene	gene	573546	592780	.	+	.	ChCC-v11000179m.g	19234
chromosome_01	JGI_gene	gene	593601	602864	.	+	.	ChCC-v11000182m.g	9263
chromosome_01	JGI_gene	gene	604839	613844	.	-	.	ChCC-v11000185m.g	9005
chromosome_01	JGI_gene	gene	613409	628964	.	+	.	ChCC-v11000186m.g	15555
chromosome_01	JGI_gene	gene	631619	638762	.	-	.	ChCC-v11000189m.g	7143
chromosome_01	JGI_gene	gene	645776	652094	.	-	.	ChCC-v11000197m.g	6318
chromosome_01	JGI_gene	gene	652662	660302	.	+	.	ChCC-v11000205m.g	7640
chromosome_01	JGI_gene	gene	677438	690261	.	+	.	ChCC-v11000212m.g	12823
chromosome_01	JGI_gene	gene	690531	698212	.	+	.	ChCC-v11000217m.g	7681
chromosome_01	JGI_gene	gene	701058	719293	.	-	.	ChCC-v11000220m.g	18235
chromosome_01	JGI_gene	gene	719871	722858	.	-	.	ChCC-v11000221m.g	2987
chromosome_01	JGI_gene	gene	731862	733720	.	+	.	ChCC-v11000224m.g	1858
chromosome_01	JGI_gene	gene	734499	755025	.	+	.	ChCC-v11000227m.g	20526
chromosome_01	JGI_gene	gene	758329	777878	.	+	.	ChCC-v11000231m.g	19549
chromosome_01	JGI_gene	gene	777746	784788	.	-	.	ChCC-v11000236m.g	7042
chromosome_01	JGI_gene	gene	784581	785306	.	+	.	ChCC-v11000238m.g	725
chromosome_01	JGI_gene	gene	785682	792965	.	-	.	ChCC-v11000240m.g	7283
chromosome_01	JGI_gene	gene	792841	801664	.	+	.	ChCC-v11000241m.g	8823
chromosome_01	JGI_gene	gene	803766	804683	.	+	.	ChCC-v11000243m.g	917
chromosome_01	JGI_gene	gene	804997	808730	.	-	.	ChCC-v11000244m.g	3733
chromosome_01	JGI_gene	gene	808716	815857	.	+	.	ChCC-v11000246m.g	7141
chromosome_01	JGI_gene	gene	815896	822308	.	+	.	ChCC-v11000248m.g	6412
chromosome_01	JGI_gene	gene	823047	836674	.	+	.	ChCC-v11000250m.g	13627
chromosome_01	JGI_gene	gene	837044	839649	.	+	.	ChCC-v11000264m.g	2605
chromosome_01	JGI_gene	gene	839280	842791	.	-	.	ChCC-v11000265m.g	3511
chromosome_01	JGI_gene	gene	843077	848390	.	+	.	ChCC-v11000266m.g	5313
chromosome_01	JGI_gene	gene	849136	853453	.	+	.	ChCC-v11000268m.g	4317
chromosome_01	JGI_gene	gene	853798	863461	.	-	.	ChCC-v11000270m.g	9663
chromosome_01	JGI_gene	gene	864234	867237	.	-	.	ChCC-v11000271m.g	3003
chromosome_01	JGI_gene	gene	873202	876778	.	-	.	ChCC-v11000274m.g	3576
chromosome_01	JGI_gene	gene	876854	880029	.	+	.	ChCC-v11000275m.g	3175
chromosome_01	JGI_gene	gene	894993	900077	.	-	.	ChCC-v11000277m.g	5084
chromosome_01	JGI_gene	gene	899930	902990	.	+	.	ChCC-v11000288m.g	3060
chromosome_01	JGI_gene	gene	903518	908829	.	-	.	ChCC-v11000290m.g	5311
chromosome_01	JGI_gene	gene	909679	917828	.	-	.	ChCC-v11000301m.g	8149
chromosome_01	JGI_gene	gene	925115	931064	.	+	.	ChCC-v11000304m.g	5949
chromosome_01	JGI_gene	gene	944401	949639	.	-	.	ChCC-v11000306m.g	5238
chromosome_01	JGI_gene	gene	949968	952194	.	+	.	ChCC-v11000308m.g	2226
chromosome_01	JGI_gene	gene	953319	962580	.	+	.	ChCC-v11000310m.g	9261
chromosome_01	JGI_gene	gene	966992	975756	.	-	.	ChCC-v11000314m.g	8764
chromosome_01	JGI_gene	gene	976023	977515	.	+	.	ChCC-v11000315m.g	1492
chromosome_01	JGI_gene	gene	979252	982365	.	+	.	ChCC-v11000316m.g	3113
chromosome_01	JGI_gene	gene	982709	986572	.	+	.	ChCC-v11000318m.g	3863
chromosome_01	JGI_gene	gene	986392	991497	.	-	.	ChCC-v11000322m.g	5105
chromosome_01	JGI_gene	gene	991064	1000781	.	-	.	ChCC-v11000323m.g	9717
chromosome_01	JGI_gene	gene	1000309	1003909	.	+	.	ChCC-v11000325m.g	3600
chromosome_01	JGI_gene	gene	1003675	1008991	.	-	.	ChCC-v11000327m.g	5316
chromosome_01	JGI_gene	gene	1009068	1014475	.	+	.	ChCC-v11000329m.g	5407
chromosome_01	JGI_gene	gene	1016530	1019395	.	-	.	ChCC-v11000332m.g	2865
chromosome_01	JGI_gene	gene	1021524	1028788	.	+	.	ChCC-v11000333m.g	7264
chromosome_01	JGI_gene	gene	1029016	1030861	.	-	.	ChCC-v11000335m.g	1845
chromosome_01	JGI_gene	gene	1030891	1041751	.	+	.	ChCC-v11000336m.g	10860
chromosome_01	JGI_gene	gene	1314618	1315310	.	+	.	ChCC-v11000344m.g	692
chromosome_01	JGI_gene	gene	1316904	1330815	.	-	.	ChCC-v11000347m.g	13911
chromosome_01	JGI_gene	gene	1329869	1334198	.	-	.	ChCC-v11000349m.g	4329
chromosome_01	JGI_gene	gene	1334199	1336717	.	-	.	ChCC-v11000350m.g	2518
chromosome_01	JGI_gene	gene	1336718	1338559	.	-	.	ChCC-v11000351m.g	1841
chromosome_01	JGI_gene	gene	1339317	1345294	.	+	.	ChCC-v11000353m.g	5977
chromosome_01	JGI_gene	gene	1345307	1354641	.	+	.	ChCC-v11000354m.g	9334
chromosome_01	JGI_gene	gene	1354866	1357614	.	+	.	ChCC-v11000357m.g	2748
chromosome_01	JGI_gene	gene	1360018	1362645	.	+	.	ChCC-v11000358m.g	2627
chromosome_01	JGI_gene	gene	1362654	1369250	.	-	.	ChCC-v11000359m.g	6596
chromosome_01	JGI_gene	gene	1369221	1375781	.	+	.	ChCC-v11000360m.g	6560
chromosome_01	JGI_gene	gene	1375684	1380986	.	+	.	ChCC-v11000361m.g	5302
chromosome_01	JGI_gene	gene	1382707	1389572	.	-	.	ChCC-v11000362m.g	6865
chromosome_01	JGI_gene	gene	1390816	1395807	.	-	.	ChCC-v11000365m.g	4991
chromosome_01	JGI_gene	gene	1395940	1398720	.	-	.	ChCC-v11000367m.g	2780
chromosome_01	JGI_gene	gene	1399540	1403602	.	-	.	ChCC-v11000368m.g	4062
chromosome_01	JGI_gene	gene	1402918	1407445	.	+	.	ChCC-v11000370m.g	4527
chromosome_01	JGI_gene	gene	1408102	1420818	.	-	.	ChCC-v11000373m.g	12716
chromosome_01	JGI_gene	gene	1421187	1427589	.	+	.	ChCC-v11000376m.g	6402
chromosome_01	JGI_gene	gene	1427362	1433082	.	-	.	ChCC-v11000377m.g	5720
chromosome_01	JGI_gene	gene	1433079	1442041	.	+	.	ChCC-v11000378m.g	8962
chromosome_01	JGI_gene	gene	1441338	1450132	.	-	.	ChCC-v11000379m.g	8794
chromosome_01	JGI_gene	gene	1450641	1458787	.	+	.	ChCC-v11000380m.g	8146
chromosome_01	JGI_gene	gene	1463763	1470326	.	-	.	ChCC-v11000383m.g	6563
chromosome_01	JGI_gene	gene	1470270	1472828	.	-	.	ChCC-v11000384m.g	2558
chromosome_01	JGI_gene	gene	1472885	1483146	.	+	.	ChCC-v11000385m.g	10261
chromosome_01	JGI_gene	gene	1483437	1489214	.	-	.	ChCC-v11000389m.g	5777
chromosome_01	JGI_gene	gene	1489336	1494982	.	-	.	ChCC-v11000393m.g	5646
chromosome_01	JGI_gene	gene	1494702	1501175	.	+	.	ChCC-v11000394m.g	6473
chromosome_01	JGI_gene	gene	1501636	1511324	.	-	.	ChCC-v11000396m.g	9688
chromosome_01	JGI_gene	gene	1511974	1522199	.	-	.	ChCC-v11000397m.g	10225
chromosome_01	JGI_gene	gene	1524971	1531673	.	-	.	ChCC-v11000400m.g	6702
chromosome_01	JGI_gene	gene	1540017	1543477	.	-	.	ChCC-v11000407m.g	3460
chromosome_01	JGI_gene	gene	1543483	1547489	.	+	.	ChCC-v11000410m.g	4006
chromosome_01	JGI_gene	gene	1548900	1552343	.	+	.	ChCC-v11000411m.g	3443
chromosome_01	JGI_gene	gene	1552356	1554061	.	+	.	ChCC-v11000412m.g	1705
chromosome_01	JGI_gene	gene	1554494	1557055	.	+	.	ChCC-v11000413m.g	2561
chromosome_01	JGI_gene	gene	1560184	1561022	.	+	.	ChCC-v11000415m.g	838
chromosome_01	JGI_gene	gene	1560788	1568022	.	-	.	ChCC-v11000416m.g	7234
chromosome_01	JGI_gene	gene	1568093	1574498	.	+	.	ChCC-v11000417m.g	6405
chromosome_01	JGI_gene	gene	1575211	1582486	.	+	.	ChCC-v11000419m.g	7275
chromosome_01	JGI_gene	gene	1582616	1592749	.	+	.	ChCC-v11000424m.g	10133
chromosome_01	JGI_gene	gene	1593146	1603550	.	+	.	ChCC-v11000425m.g	10404
chromosome_01	JGI_gene	gene	1603551	1607638	.	+	.	ChCC-v11000426m.g	4087
chromosome_01	JGI_gene	gene	1607471	1612142	.	-	.	ChCC-v11000427m.g	4671
chromosome_01	JGI_gene	gene	1613336	1616532	.	+	.	ChCC-v11000428m.g	3196
chromosome_01	JGI_gene	gene	1619002	1634495	.	-	.	ChCC-v11000434m.g	15493
chromosome_01	JGI_gene	gene	1634389	1637239	.	+	.	ChCC-v11000436m.g	2850
chromosome_01	JGI_gene	gene	1637788	1640562	.	-	.	ChCC-v11000437m.g	2774
chromosome_01	JGI_gene	gene	1644251	1646649	.	-	.	ChCC-v11000441m.g	2398
chromosome_01	JGI_gene	gene	1649219	1651626	.	-	.	ChCC-v11000443m.g	2407
chromosome_01	JGI_gene	gene	1655500	1659865	.	+	.	ChCC-v11000447m.g	4365
chromosome_01	JGI_gene	gene	1659701	1661795	.	-	.	ChCC-v11000449m.g	2094
chromosome_01	JGI_gene	gene	1661745	1664587	.	-	.	ChCC-v11000450m.g	2842
chromosome_01	JGI_gene	gene	1664676	1675722	.	+	.	ChCC-v11000454m.g	11046
chromosome_01	JGI_gene	gene	1676123	1689640	.	+	.	ChCC-v11000458m.g	13517
chromosome_01	JGI_gene	gene	1690329	1693201	.	-	.	ChCC-v11000459m.g	2872
chromosome_01	JGI_gene	gene	1693692	1698821	.	-	.	ChCC-v11000460m.g	5129
chromosome_01	JGI_gene	gene	1698874	1709741	.	+	.	ChCC-v11000467m.g	10867
chromosome_01	JGI_gene	gene	1710044	1713724	.	+	.	ChCC-v11000470m.g	3680
chromosome_01	JGI_gene	gene	1713636	1722416	.	-	.	ChCC-v11000471m.g	8780
chromosome_01	JGI_gene	gene	1722743	1727252	.	+	.	ChCC-v11000473m.g	4509
chromosome_01	JGI_gene	gene	1729524	1735257	.	+	.	ChCC-v11000474m.g	5733
chromosome_01	JGI_gene	gene	1735181	1738248	.	+	.	ChCC-v11000476m.g	3067
chromosome_01	JGI_gene	gene	1740584	1747099	.	+	.	ChCC-v11000477m.g	6515
chromosome_01	JGI_gene	gene	1747086	1760034	.	-	.	ChCC-v11000479m.g	12948
chromosome_01	JGI_gene	gene	1760343	1766361	.	-	.	ChCC-v11000482m.g	6018
chromosome_01	JGI_gene	gene	1766479	1771772	.	-	.	ChCC-v11000483m.g	5293
chromosome_01	JGI_gene	gene	1772559	1775588	.	-	.	ChCC-v11000484m.g	3029
chromosome_01	JGI_gene	gene	1775634	1780538	.	+	.	ChCC-v11000487m.g	4904
chromosome_01	JGI_gene	gene	1781420	1786071	.	-	.	ChCC-v11000489m.g	4651
chromosome_01	JGI_gene	gene	1785903	1788710	.	-	.	ChCC-v11000491m.g	2807
chromosome_01	JGI_gene	gene	1788668	1792909	.	+	.	ChCC-v11000492m.g	4241
chromosome_01	JGI_gene	gene	1794577	1803456	.	+	.	ChCC-v11000494m.g	8879
chromosome_01	JGI_gene	gene	1804293	1807618	.	+	.	ChCC-v11000501m.g	3325
chromosome_01	JGI_gene	gene	1807792	1815669	.	+	.	ChCC-v11000503m.g	7877
chromosome_01	JGI_gene	gene	1811349	1824472	.	+	.	ChCC-v11000504m.g	13123
chromosome_01	JGI_gene	gene	1828696	1846359	.	-	.	ChCC-v11000508m.g	17663
chromosome_01	JGI_gene	gene	1849614	1852743	.	-	.	ChCC-v11000515m.g	3129
chromosome_01	JGI_gene	gene	1852920	1857479	.	+	.	ChCC-v11000516m.g	4559
chromosome_01	JGI_gene	gene	1877656	1883887	.	+	.	ChCC-v11000524m.g	6231
chromosome_01	JGI_gene	gene	1895741	1897918	.	+	.	ChCC-v11000525m.g	2177
chromosome_01	JGI_gene	gene	1900709	1901568	.	-	.	ChCC-v11000531m.g	859
chromosome_01	JGI_gene	gene	1902015	1904748	.	-	.	ChCC-v11000532m.g	2733
chromosome_01	JGI_gene	gene	1905823	1906745	.	-	.	ChCC-v11000538m.g	922
chromosome_01	JGI_gene	gene	1906951	1916857	.	+	.	ChCC-v11000539m.g	9906
chromosome_01	JGI_gene	gene	1917580	1931146	.	+	.	ChCC-v11000540m.g	13566
chromosome_01	JGI_gene	gene	1931675	1934521	.	+	.	ChCC-v11000541m.g	2846
chromosome_01	JGI_gene	gene	1935926	1942216	.	+	.	ChCC-v11000542m.g	6290
chromosome_01	JGI_gene	gene	1943055	1952087	.	-	.	ChCC-v11000545m.g	9032
chromosome_01	JGI_gene	gene	1952135	1956244	.	+	.	ChCC-v11000547m.g	4109
chromosome_01	JGI_gene	gene	1956645	1964271	.	+	.	ChCC-v11000548m.g	7626
chromosome_01	JGI_gene	gene	1964212	1968527	.	-	.	ChCC-v11000549m.g	4315
chromosome_01	JGI_gene	gene	1968519	1976180	.	+	.	ChCC-v11000550m.g	7661
chromosome_01	JGI_gene	gene	1975915	1990420	.	-	.	ChCC-v11000553m.g	14505
chromosome_01	JGI_gene	gene	1991113	1993746	.	-	.	ChCC-v11000558m.g	2633
chromosome_01	JGI_gene	gene	1996068	2005018	.	+	.	ChCC-v11000560m.g	8950
chromosome_01	JGI_gene	gene	2007431	2008319	.	-	.	ChCC-v11000563m.g	888
chromosome_01	JGI_gene	gene	2008821	2010329	.	-	.	ChCC-v11000564m.g	1508
chromosome_01	JGI_gene	gene	2013915	2015344	.	+	.	ChCC-v11000566m.g	1429
chromosome_01	JGI_gene	gene	2015261	2026562	.	-	.	ChCC-v11000567m.g	11301
chromosome_01	JGI_gene	gene	2038340	2040927	.	-	.	ChCC-v11000572m.g	2587
chromosome_01	JGI_gene	gene	2041227	2045318	.	+	.	ChCC-v11000575m.g	4091
chromosome_01	JGI_gene	gene	2045646	2051398	.	+	.	ChCC-v11000576m.g	5752
chromosome_01	JGI_gene	gene	2051607	2054812	.	+	.	ChCC-v11000577m.g	3205
chromosome_01	JGI_gene	gene	2056575	2064775	.	-	.	ChCC-v11000579m.g	8200
chromosome_01	JGI_gene	gene	2065170	2073838	.	-	.	ChCC-v11000582m.g	8668
chromosome_01	JGI_gene	gene	2074433	2077196	.	+	.	ChCC-v11000584m.g	2763
chromosome_01	JGI_gene	gene	2077944	2083311	.	+	.	ChCC-v11000589m.g	5367
chromosome_01	JGI_gene	gene	2083844	2089055	.	+	.	ChCC-v11000591m.g	5211
chromosome_01	JGI_gene	gene	2089346	2093934	.	+	.	ChCC-v11000595m.g	4588
chromosome_01	JGI_gene	gene	2094388	2099031	.	+	.	ChCC-v11000599m.g	4643
chromosome_01	JGI_gene	gene	2099159	2105718	.	-	.	ChCC-v11000602m.g	6559
chromosome_01	JGI_gene	gene	2105616	2114338	.	-	.	ChCC-v11000603m.g	8722
chromosome_01	JGI_gene	gene	2114819	2124205	.	+	.	ChCC-v11000606m.g	9386
chromosome_01	JGI_gene	gene	2126273	2134962	.	-	.	ChCC-v11000616m.g	8689
chromosome_01	JGI_gene	gene	2135070	2136426	.	-	.	ChCC-v11000617m.g	1356
chromosome_01	JGI_gene	gene	2136575	2139178	.	-	.	ChCC-v11000618m.g	2603
chromosome_01	JGI_gene	gene	2148446	2154642	.	+	.	ChCC-v11000619m.g	6196
chromosome_01	JGI_gene	gene	2154816	2159242	.	+	.	ChCC-v11000620m.g	4426
chromosome_01	JGI_gene	gene	2154821	2159242	.	-	.	ChCC-v11000621m.g	4421
chromosome_01	JGI_gene	gene	2157991	2165318	.	+	.	ChCC-v11000623m.g	7327
chromosome_01	JGI_gene	gene	2166171	2172198	.	+	.	ChCC-v11000628m.g	6027
chromosome_01	JGI_gene	gene	2172566	2177031	.	-	.	ChCC-v11000633m.g	4465
chromosome_01	JGI_gene	gene	2178579	2189000	.	+	.	ChCC-v11000636m.g	10421
chromosome_01	JGI_gene	gene	2192463	2193657	.	+	.	ChCC-v11000641m.g	1194
chromosome_01	JGI_gene	gene	2196839	2200369	.	-	.	ChCC-v11000645m.g	3530
chromosome_01	JGI_gene	gene	2200889	2209168	.	+	.	ChCC-v11000646m.g	8279
chromosome_01	JGI_gene	gene	2208539	2213122	.	-	.	ChCC-v11000648m.g	4583
chromosome_01	JGI_gene	gene	2215276	2241572	.	+	.	ChCC-v11000650m.g	26296
chromosome_01	JGI_gene	gene	2240444	2243118	.	-	.	ChCC-v11000654m.g	2674
chromosome_01	JGI_gene	gene	2245921	2250596	.	+	.	ChCC-v11000655m.g	4675
chromosome_01	JGI_gene	gene	2250402	2256179	.	-	.	ChCC-v11000658m.g	5777
chromosome_01	JGI_gene	gene	2256039	2268611	.	+	.	ChCC-v11000659m.g	12572
chromosome_01	JGI_gene	gene	2268910	2278586	.	+	.	ChCC-v11000663m.g	9676
chromosome_01	JGI_gene	gene	2278830	2290569	.	+	.	ChCC-v11000665m.g	11739
chromosome_01	JGI_gene	gene	2290497	2294251	.	+	.	ChCC-v11000668m.g	3754
chromosome_01	JGI_gene	gene	2294369	2304644	.	+	.	ChCC-v11000669m.g	10275
chromosome_01	JGI_gene	gene	2304725	2311997	.	-	.	ChCC-v11000672m.g	7272
chromosome_01	JGI_gene	gene	2312389	2317907	.	+	.	ChCC-v11000673m.g	5518
chromosome_01	JGI_gene	gene	2317967	2328239	.	-	.	ChCC-v11000676m.g	10272
chromosome_01	JGI_gene	gene	2327847	2334879	.	+	.	ChCC-v11000679m.g	7032
chromosome_01	JGI_gene	gene	2341573	2344246	.	-	.	ChCC-v11000686m.g	2673
chromosome_01	JGI_gene	gene	2345255	2346968	.	-	.	ChCC-v11000688m.g	1713
chromosome_01	JGI_gene	gene	2347733	2348035	.	+	.	ChCC-v11000689m.g	302
chromosome_01	JGI_gene	gene	2348747	2353743	.	-	.	ChCC-v11000690m.g	4996
chromosome_01	JGI_gene	gene	2353816	2360708	.	+	.	ChCC-v11000695m.g	6892
chromosome_01	JGI_gene	gene	2360625	2362886	.	-	.	ChCC-v11000699m.g	2261
chromosome_01	JGI_gene	gene	2362903	2368349	.	-	.	ChCC-v11000700m.g	5446
chromosome_01	JGI_gene	gene	2367878	2371420	.	+	.	ChCC-v11000702m.g	3542
chromosome_01	JGI_gene	gene	2373392	2374446	.	-	.	ChCC-v11000708m.g	1054
chromosome_01	JGI_gene	gene	2373793	2378015	.	+	.	ChCC-v11000710m.g	4222
chromosome_01	JGI_gene	gene	2377342	2381783	.	-	.	ChCC-v11000713m.g	4441
chromosome_01	JGI_gene	gene	2383019	2389800	.	-	.	ChCC-v11000715m.g	6781
chromosome_01	JGI_gene	gene	2390511	2397569	.	+	.	ChCC-v11000717m.g	7058
chromosome_01	JGI_gene	gene	2397775	2401078	.	+	.	ChCC-v11000720m.g	3303
chromosome_01	JGI_gene	gene	2401376	2402728	.	-	.	ChCC-v11000721m.g	1352
chromosome_01	JGI_gene	gene	2402729	2403955	.	-	.	ChCC-v11000723m.g	1226
chromosome_01	JGI_gene	gene	2403693	2408092	.	+	.	ChCC-v11000724m.g	4399
chromosome_01	JGI_gene	gene	2408329	2413323	.	+	.	ChCC-v11000725m.g	4994
chromosome_01	JGI_gene	gene	2412827	2416005	.	-	.	ChCC-v11000727m.g	3178
chromosome_01	JGI_gene	gene	2416240	2421358	.	-	.	ChCC-v11000729m.g	5118
chromosome_01	JGI_gene	gene	2427979	2429994	.	-	.	ChCC-v11000739m.g	2015
chromosome_01	JGI_gene	gene	2430042	2435858	.	+	.	ChCC-v11000741m.g	5816
chromosome_01	JGI_gene	gene	2434878	2439042	.	-	.	ChCC-v11000744m.g	4164
chromosome_01	JGI_gene	gene	2438926	2444965	.	+	.	ChCC-v11000745m.g	6039
chromosome_01	JGI_gene	gene	2444775	2449800	.	-	.	ChCC-v11000746m.g	5025
chromosome_01	JGI_gene	gene	2449235	2455070	.	+	.	ChCC-v11000748m.g	5835
chromosome_01	JGI_gene	gene	2456297	2463276	.	-	.	ChCC-v11000758m.g	6979
chromosome_01	JGI_gene	gene	2463453	2465271	.	+	.	ChCC-v11000759m.g	1818
chromosome_01	JGI_gene	gene	2466222	2470919	.	+	.	ChCC-v11000761m.g	4697
chromosome_01	JGI_gene	gene	2473210	2480333	.	+	.	ChCC-v11000763m.g	7123
chromosome_01	JGI_gene	gene	2480613	2486683	.	-	.	ChCC-v11000772m.g	6070
chromosome_01	JGI_gene	gene	2489019	2493410	.	+	.	ChCC-v11000773m.g	4391
chromosome_01	JGI_gene	gene	2493529	2497186	.	+	.	ChCC-v11000775m.g	3657
