	v5_5_gene	JGI_v5.5_ID	JGI_v6	transcript	gene	k0	k4	BetweennessCentralitychlamynetUnDirected	OutdegreechlamynetUnDirected	IndegreechlamynetUnDirected	BetweennessCentralitychlamynetDirected	OutdegreechlamynetDirected	IndegreechlamynetDirected
31	Cre08.g369600	Cre08.g369600.t1.1	ChCC-v11017748m.g	Cre08.g369600.t1.2	Cre08.g369600	0.1021115612362628	0.488876632524143	0.0	0.0	1.0	0.0	0.0	1.0
32	Cre08.g376650	Cre08.g376650.t1.2	ChCC-v11018020m.g	Cre08.g376650.t1.2	Cre08.g376650	0.040368487510335	0.3248374795790059	0.0006114330267808	5.0	3.0	0.094082495020386	5.0	3.0
33	Cre08.g366550	Cre08.g366550.t1.1	ChCC-v11017615m.g	Cre08.g366550.t1.3	Cre08.g366550	0.2305161285378642	0.6131767539087143	0.0013181932481435	0.0	6.0	0.0	0.0	6.0
37	Cre08.g359800	Cre08.g359800.t1.2	ChCC-v11017271m.g	Cre08.g359800.t1.2	Cre08.g359800	0.1160558378416944	0.3722438330693165	0.0001748417881207	86.0	52.0	0.015197694503298	86.0	52.0
39	Cre08.g371533	Cre08.g371533.t1.1		g8702.t1	g8702	0.1510880450272125	0.3181179308402376	0.0001002014350833	3.0	1.0	0.0003468969120807	3.0	1.0
40	Cre08.g366650	Cre08.g366650.t1.1	ChCC-v11017619m.g	Cre08.g366650.t1.3	Cre08.g366650	0.2938836605402266	0.6739394812683525	0.0002369106846718	3.0	1.0	0.0009465762055732	3.0	1.0
47	Cre08.g383702	Cre08.g383702.t1.1	ChCC-v11018356m.g	g9032.t1	g9032	0.123572630809073	0.3786281864410259	1.7541912219215574e-05	1.0	2.0	0.0051921396562822	1.0	2.0
48	Cre08.g365851	Cre08.g365851.t1.1	ChCC-v11017580m.g	g8573.t1	g8573	0.0822536602436089	0.3226599583480189	0.0001570944385536	122.0	135.0	0.1168115219261746	122.0	135.0
51	Cre08.g379400	Cre08.g379400.t1.1	ChCC-v11018143m.g	Cre08.g379400.t1.3	Cre08.g379400	0.3204773242877283	0.5809909675576354	0.0109878281413683	43.0	17.0	2.826347280083686	43.0	17.0
52				g8954.t1	g8954			3.956341233047069e-05	3.0	13.0	0.0166619331731556	3.0	13.0
53	Cre08.g360250	Cre08.g360250.t1.2	ChCC-v11017302m.g	Cre08.g360250.t1.2	Cre08.g360250	0.0294860600425013	0.408003016847482	0.001342500938789	34.0	16.0	1.3185203197852804	34.0	16.0
55	Cre08.g362900	Cre08.g362900.t1.1	ChCC-v11017439m.g	Cre08.g362900.t1.3	Cre08.g362900	0.0399761562692068	0.2235044668450626	0.0009454289244546	1.0	5.0	0.0010438110998286	1.0	5.0
58	Cre08.g358540	Cre08.g358540.t1.1	ChCC-v11017163m.g	g8356.t1	g8356	0.0573387125809706	0.2306844501502828	0.0002369106846718	1.0	1.0	5.074452291040833e-05	1.0	1.0
60				Cre08.g365300.t1.2	Cre08.g365300			0.0	0.0	1.0	0.0	0.0	1.0
62	Cre08.g375800	Cre08.g375800.t1.1	ChCC-v11017988m.g	Cre08.g375800.t1.3	Cre08.g375800	0.6359613588730029	1.352490218721848	0.0002369106846718	1.0	1.0	6.007668766024835e-05	1.0	1.0
64	Cre08.g385850	Cre08.g385850.t1.2	ChCC-v11018459m.g	Cre08.g385850.t1.2	Cre08.g385850	0.0397443976053827	0.3065538250898502	1.763677414279552e-05	3.0	8.0	0.0101297853066247	3.0	8.0
65	Cre08.g375650	Cre08.g375650.t1.1	ChCC-v11017985m.g	Cre08.g375650.t1.3	Cre08.g375650	0.0871994762712231	0.2903369770799758	0.0	0.0	1.0	0.0	0.0	1.0
69	Cre08.g374750	Cre08.g374750.t1.1	ChCC-v11017954m.g	Cre08.g374750.t1.3	Cre08.g374750	0.1827464695788774	0.5253847368166631	3.245888941962391e-07	3.0	1.0	0.0029239419551558	3.0	1.0
70	Cre08.g360200	Cre08.g360200.t1.2	ChCC-v11017298m.g	Cre08.g360200.t1.2	Cre08.g360200	0.024195646663666	0.2480882576820101	0.0003175627245867	0.0	15.0	0.0	0.0	15.0
72				Cre08.g381250.t1.2	Cre08.g381250			6.828907383990662e-05	1.0	4.0	0.0	1.0	4.0
75	Cre08.g364800	Cre08.g364800.t1.2	ChCC-v11017535m.g	Cre08.g364800.t1.2	Cre08.g364800	0.0168979842898948	0.1380149759812509	0.0002369106846718	0.0	3.0	0.0	0.0	3.0
76	Cre08.g364351	Cre08.g364351.t1.1	ChCC-v11017513m.g	Cre08.g364350.t1.2	Cre08.g364350	0.0684886189010905	0.2962726731116887	0.0	2.0	0.0	0.0	2.0	0.0
78	Cre08.g364650	Cre08.g364650.t1.1	ChCC-v11017523m.g	Cre08.g364650.t1.3	Cre08.g364650	0.0473011365969389	0.4376382862369074	0.0001956268076286	1.0	8.0	0.027577799716672	1.0	8.0
81	Cre08.g359500	Cre08.g359500.t1.1	ChCC-v11017258m.g	Cre08.g359500.t1.3	Cre08.g359500	0.093212078840146	0.5285310022207659	0.0	1.0	0.0	0.0	1.0	0.0
84	Cre08.g377150	Cre08.g377150.t1.2	ChCC-v11018042m.g	Cre08.g377150.t1.2	Cre08.g377150	0.0363778772415696	0.2854477811476132	0.0005608933244389	14.0	20.0	0.4007445782247265	14.0	20.0
85	Cre08.g360564	Cre08.g360564.t1.2	ChCC-v11017322m.g	Cre08.g360564.t1.2	Cre08.g360564	0.1714627640462862	0.618300615355971	4.849309392001496e-05	15.0	16.0	0.0112536122833486	15.0	16.0
92				g8361.t1	g8361			0.0005819095477142	5.0	4.0	0.0004401086318239	5.0	4.0
94	Cre08.g378250	Cre08.g378250.t2.1	ChCC-v11018090m.g	Cre08.g378250.t1.1	Cre08.g378250	0.0440008860666021	0.2770501298905264	0.000764167509381	25.0	12.0	0.0827468615400553	25.0	12.0
95	Cre08.g368700	Cre08.g368700.t1.1	ChCC-v11017717m.g	Cre08.g368700.t1.3	Cre08.g368700	0.0441001933233993	0.3311953741475023	0.0001516158337397	1.0	6.0	0.0646895507364496	1.0	6.0
97	Cre08.g379650	Cre08.g379650.t1.2	ChCC-v11018165m.g	Cre08.g379650.t1.2	Cre08.g379650	0.0030927878878965	0.1456170108307181	0.0028527626813746	13.0	39.0	2.090371912873922	13.0	39.0
98	Cre08.g368950	Cre08.g368950.t1.2	ChCC-v11017727m.g	Cre08.g368950.t1.2	Cre08.g368950	0.0180965263507562	0.2337347646678822	0.0005806530139216	1.0	6.0	0.0084533327882378	1.0	6.0
100				Cre08.g381450.t1.2	Cre08.g381450			5.098157802097117e-05	1.0	1.0	7.57799844347912e-06	1.0	1.0
103				g8507.t1	g8507			0.0004560414498926	0.0	4.0	0.0	0.0	4.0
111	Cre08.g368400	Cre08.g368400.t1.2	ChCC-v11017703m.g	Cre08.g368400.t1.2	Cre08.g368400	0.014334907369959	0.1653726601213762	0.0009919197796062	8.0	0.0	0.0	8.0	0.0
112	Cre08.g383300	Cre08.g383300.t1.2	ChCC-v11018335m.g	Cre08.g383300.t1.2	Cre08.g383300	0.0688556619398421	0.2065589848949748	0.0034521471351002	30.0	97.0	0.49546421433408	30.0	97.0
115				Cre08.g364450.t1.2	Cre08.g364450			0.0002514642162987	1.0	2.0	0.0040837552945299	1.0	2.0
116				Cre08.g377650.t1.2	Cre08.g377650			0.0	1.0	1.0	0.0	1.0	1.0
119	Cre08.g371400	Cre08.g371400.t1.1	ChCC-v11017820m.g	Cre08.g371400.t1.3	Cre08.g371400	0.0935276088757179	0.4187098367945102	0.0004324496153579	9.0	9.0	0.1271769823917684	9.0	9.0
121	Cre08.g366150	Cre08.g366150.t1.1	ChCC-v11017590m.g	Cre08.g366150.t1.3	Cre08.g366150	0.0443644813033538	0.2352326681016781	0.0009178310237608	15.0	7.0	0.4534693734249263	15.0	7.0
122	Cre08.g384800	Cre08.g384800.t1.2	ChCC-v11018407m.g	Cre08.g384800.t1.2	Cre08.g384800	0.0682288336542949	0.2766232311962879	0.0003605572038913	0.0	7.0	0.0	0.0	7.0
127				g8357.t1	g8357			0.0012183498853327	18.0	6.0	0.3479166322315959	18.0	6.0
128	Cre08.g364400	Cre08.g364400.t1.1	ChCC-v11017515m.g	Cre08.g364400.t1.3	Cre08.g364400	0.041123790550602	0.3501948409326916	0.0037153886885402	0.0	6.0	0.0	0.0	6.0
129				Cre08.g367550.t1.2	Cre08.g367550			1.170565061486127e-05	2.0	1.0	0.0072948908101939	2.0	1.0
132	Cre08.g385550	Cre08.g385550.t1.1	ChCC-v11018443m.g	Cre08.g385550.t1.3	Cre08.g385550	0.1149455718981227	0.4302640302461347	4.780735921299089e-06	1.0	6.0	0.0006291004046716	1.0	6.0
133				Cre08.g373000.t1.2	Cre08.g373000			5.8539587519226e-06	5.0	5.0	0.0019106449477786	5.0	5.0
135				Cre08.g371550.t1.3	Cre08.g371550			0.0007975349274005	3.0	22.0	0.209995173984236	3.0	22.0
138				Cre08.g384100.t1.3	Cre08.g384100			0.0	0.0	1.0	0.0	0.0	1.0
140	Cre08.g358350	Cre08.g358350.t1.1	ChCC-v11017122m.g	Cre08.g358350.t1.3	Cre08.g358350	0.125608494828969	0.4853715504885916	5.2788041304887865e-05	1.0	1.0	0.0011528696715338	1.0	1.0
142				Cre08.g376150.t1.2	Cre08.g376150			0.0110830593169719	10.0	4.0	2.7481634897105853	10.0	4.0
147	Cre08.g377500	Cre08.g377500.t1.2	ChCC-v11018057m.g	Cre08.g377500.t1.2	Cre08.g377500	0.2398757810382467	0.407867656110752	8.862526339672166e-05	13.0	2.0	0.0026942145971654	13.0	2.0
148				Cre08.g381750.t1.3	Cre08.g381750			0.0002519956870461	24.0	18.0	0.3220849711152034	24.0	18.0
151				g8620.t2	g8620			0.0026695709895483	67.0	118.0	4.109964977046803	67.0	118.0
152				g8620.t1	g8620			0.0026695709895483	67.0	118.0	4.109964977046803	67.0	118.0
155				g9070.t2	g9070	0.0536409883802325	0.2984667645645247	1.2228171934976058e-06	4.0	1.0	0.0003854362240366	4.0	1.0
156	Cre08.g369200	Cre08.g369200.t1.1	ChCC-v11017734m.g	Cre08.g369200.t1.3	Cre08.g369200	0.3393559387796252	0.5846064480363319	0.0	0.0	3.0	0.0	0.0	3.0
158	Cre08.g368500	Cre08.g368500.t1.2	ChCC-v11017706m.g	Cre08.g368500.t1.2	Cre08.g368500	0.0334627991166051	0.4949174691025971	0.0009051901630574	24.0	131.0	0.2428439556845437	24.0	131.0
160	Cre08.g375900	Cre08.g375900.t1.1	ChCC-v11017994m.g	Cre08.g375900.t1.1	Cre08.g375900	0.0359350167719231	0.3132514870416699	0.0004679680403676	0.0	5.0	0.0	0.0	5.0
161	Cre08.g385450	Cre08.g385450.t1.2	ChCC-v11018437m.g	Cre08.g385450.t1.2	Cre08.g385450	0.0672296245469245	0.3228678567563286	0.0002850843377933	3.0	7.0	0.0151226312285974	3.0	7.0
162	Cre08.g377200	Cre08.g377200.t1.1	ChCC-v11018043m.g	g8883.t1	g8883	0.1333346515195902	0.4207014175564051	0.0002703882245907	3.0	2.0	0.0103302105337302	3.0	2.0
163				g8789.t1	g8789			0.0009244082428227	5.0	77.0	0.0296480526742309	5.0	77.0
164	Cre08.g380950	Cre08.g380950.t1.2	ChCC-v11018218m.g	Cre08.g380950.t1.2	Cre08.g380950	0.1279691377730725	0.5101828317930279	0.0013497141468407	5.0	15.0	0.0786632222149874	5.0	15.0
166				g8362.t1	g8362			5.7831557869570135e-05	8.0	1.0	0.0	8.0	1.0
168	Cre08.g368900	Cre08.g368900.t2.1	ChCC-v11017725m.g	Cre08.g368900.t1.2	Cre08.g368900	0.0208016503441476	0.2571666322797833	3.2049223379224105e-05	8.0	18.0	0.0552748566708083	8.0	18.0
171	Cre08.g365825	Cre08.g365825.t1.1	ChCC-v11017577m.g	Cre08.g365801.t1.2	Cre08.g365801	0.1473162267304351	0.4222247721392542	0.0015711121022175	25.0	10.0	0.0744523784166259	25.0	10.0
174	Cre08.g369400	Cre08.g369400.t1.2	ChCC-v11017741m.g	Cre08.g369400.t1.2	Cre08.g369400	0.0223420776015803	0.4866557676614679	0.0005505733153195	0.0	3.0	0.0	0.0	3.0
176	Cre08.g381650	Cre08.g381650.t1.1	ChCC-v11018250m.g	Cre08.g381650.t1.3	Cre08.g381650	0.1465535042221306	0.4116036538734051	0.0019850278818682	0.0	5.0	0.0	0.0	5.0
182				Cre08.g378550.t1.2	Cre08.g378550			0.0002369106846718	1.0	1.0	9.837364646071967e-05	1.0	1.0
184				Cre08.g367150.t1.3	Cre08.g367150			2.9459948216977336e-06	11.0	11.0	0.066850688687008	11.0	11.0
187	Cre08.g366400	Cre08.g366400.t2.1	ChCC-v11017608m.g	Cre08.g366400.t1.2	Cre08.g366400	0.0341474117599095	0.3993322551879291	0.0016847123134694	44.0	16.0	0.7189184200113681	44.0	16.0
188	Cre08.g358575	Cre08.g358575.t1.1	ChCC-v11017209m.g	g8390.t1	g8390	0.2768090615519	0.6539146913240077	0.0	0.0	1.0	0.0	0.0	1.0
189	Cre08.g385050	Cre08.g385050.t1.1	ChCC-v11018416m.g	Cre08.g385050.t1.3	Cre08.g385050	0.0421520463588982	0.3067014941903787	0.0026386711630102	1.0	5.0	0.0351554124482856	1.0	5.0
191				Cre08.g361950.t1.3	Cre08.g361950			0.0043804391181089	78.0	41.0	1.897117074292917	78.0	41.0
193	Cre08.g365664	Cre08.g365664.t1.2	ChCC-v11017568m.g	Cre08.g365664.t1.2	Cre08.g365664	0.3204981982737953	0.8808045960282326	7.84971793668059e-05	0.0	3.0	0.0	0.0	3.0
194				Cre08.g381200.t1.1	Cre08.g381200			0.0	2.0	1.0	0.0	2.0	1.0
195	Cre08.g372500	Cre08.g372500.t1.2	ChCC-v11017867m.g	Cre08.g372500.t1.2	Cre08.g372500	0.0897512800748298	0.4133139735387683	1.9421122210770444e-05	1.0	4.0	1.27212140537293e-05	1.0	4.0
204	Cre08.g358554	Cre08.g358554.t1.1	ChCC-v11017170m.g	g8370.t1	g8370	0.1644371865289606	0.444759014778588	2.563874472966249e-05	2.0	5.0	0.0059883731414873	2.0	5.0
205	Cre08.g361750	Cre08.g361750.t1.1	ChCC-v11017367m.g	Cre08.g361750.t1.3	Cre08.g361750	0.1648850538573661	0.6520698171734529	0.0013348070184694	45.0	14.0	0.1792715285847763	45.0	14.0
208				g8541.t1	g8541			2.2832487976437196e-05	7.0	26.0	0.0108800023987506	7.0	26.0
210	Cre08.g373100	Cre08.g373100.t1.1	ChCC-v11017891m.g	g8737.t1	g8737	0.0472378318967708	0.2951166877960866	4.998920477939044e-05	2.0	2.0	0.0072330738173778	2.0	2.0
211				Cre08.g371801.t1.2	Cre08.g371801			2.056456423502251e-05	17.0	10.0	0.0037268766629	17.0	10.0
213	Cre08.g374200	Cre08.g374200.t1.1	ChCC-v11017935m.g	Cre08.g374200.t1.3	Cre08.g374200	0.1973164250030153	0.5461096110491808	0.0	0.0	1.0	0.0	0.0	1.0
214	Cre08.g360600	Cre08.g360600.t1.1	ChCC-v11017323m.g	Cre08.g360600.t1.3	Cre08.g360600	0.113082813826583	0.3413613961911084	0.000197132182026	3.0	4.0	0.1564370034096913	3.0	4.0
215	Cre08.g360750	Cre08.g360750.t1.1		g8448.t1	g8448	0.2839633935539823	0.6072464889212503	0.0053721503399395	2.0	12.0	0.3797155676131459	2.0	12.0
216	Cre08.g370850	Cre08.g370850.t1.1	ChCC-v11017805m.g	Cre08.g370850.t1.3	Cre08.g370850	0.0082873771399387	0.2498583348964037	0.0026024472028945	19.0	46.0	0.7934667851217584	19.0	46.0
217	Cre08.g358547	Cre08.g358547.t1.1		g8364.t1	g8364	0.1067217679635831	0.2326161962278796	1.1655027983911266e-05	5.0	5.0	0.000157551630425	5.0	5.0
219	Cre08.g381000	Cre08.g381000.t1.2	ChCC-v11018221m.g	Cre08.g381000.t1.2	Cre08.g381000	0.1987908351973849	0.5400214250225774	0.0	1.0	0.0	0.0	1.0	0.0
221	Cre08.g383550	Cre08.g383550.t1.2	ChCC-v11018352m.g	Cre08.g383550.t1.2	Cre08.g383550	0.0482140895109025	0.2530952842455802	0.000709565668137	1.0	98.0	0.0010187964603305	1.0	98.0
222	Cre08.g365720	Cre08.g365720.t1.1	ex.Cre08.g365720.t1.1.g	g8569.t1	g8569	0.3009746755177611	0.6700669057278718	0.0	1.0	0.0	0.0	1.0	0.0
224	Cre08.g362800	Cre08.g362800.t1.2	ChCC-v11017435m.g	Cre08.g362800.t1.2	Cre08.g362800	0.0793776875974408	0.3935723487073292	0.0	1.0	0.0	0.0	1.0	0.0
229	Cre08.g382515	Cre08.g382515.t1.1	ChCC-v11018292m.g	g9000.t1	g9000	0.1275062224204482	0.4627676138153584	0.0128903535402761	22.0	22.0	1.9596139469784288	22.0	22.0
230	Cre08.g372400	Cre08.g372400.t1.2	ChCC-v11017857m.g	Cre08.g372400.t1.2	Cre08.g372400	0.0651370063707338	0.3773276832540603	4.5867879224711755e-08	1.0	8.0	0.0	1.0	8.0
233				g8808.t1	g8808			1.555671179953238e-05	2.0	11.0	2.593640133932912e-05	2.0	11.0
235	Cre08.g385200	Cre08.g385200.t1.1	ChCC-v11018421m.g	Cre08.g385200.t1.1	Cre08.g385200	-0.0	0.2635484151284164	0.0003328524411328	0.0	6.0	0.0	0.0	6.0
236	Cre08.g362150	Cre08.g362150.t1.1	ChCC-v11017394m.g	Cre08.g362150.t1.3	Cre08.g362150	0.0812404796696313	0.43448402843336	0.0011856521479042	8.0	6.0	0.5334249238344588	8.0	6.0
239				Cre08.g374550.t1.2	Cre08.g374550			5.679695679994958e-07	0.0	3.0	0.0	0.0	3.0
243	Cre08.g378650	Cre08.g378650.t1.2	ChCC-v11018109m.g	Cre08.g378650.t1.2	Cre08.g378650	0.0572797340884304	0.3904008284197137	0.0	0.0	1.0	0.0	0.0	1.0
248	Cre08.g370450	Cre08.g370450.t1.2	ChCC-v11017785m.g	g8681.t1	g8681	0.0531760568244251	0.2106767890998016	0.0014322383631845	124.0	78.0	1.5090963509693929	124.0	78.0
250	Cre08.g384750	Cre08.g384750.t1.1	ChCC-v11018405m.g	Cre08.g384750.t1.1	Cre08.g384750	0.0932270351939869	0.274955479126063	0.0010853823838798	166.0	67.0	0.1719830784805149	166.0	67.0
251	Cre08.g382545	Cre08.g382545.t1.1	ChCC-v11018296m.g	g9002.t1	g9002	0.018634498939898	0.275793585093988	1.0017818978872845e-05	65.0	55.0	0.0046654633601207	65.0	55.0
252	Cre08.g367950	Cre08.g367950.t1.1	ChCC-v11017682m.g	Cre08.g367950.t1.3	Cre08.g367950	0.1152409454510223	0.5379859655001243	0.0	0.0	1.0	0.0	0.0	1.0
256	Cre08.g362650	Cre08.g362650.t1.1	ChCC-v11017428m.g	Cre08.g362650.t1.3	Cre08.g362650	0.0086926000223764	0.1820755257768357	0.0005767770465885	4.0	6.0	0.0008641855869407	4.0	6.0
258				g8351.t1	g8351			0.0001180313719484	7.0	14.0	0.0105771591318228	7.0	14.0
261				Cre08.g372650.t1.2	Cre08.g372650			0.0	0.0	1.0	0.0	0.0	1.0
262	Cre08.g367350	Cre08.g367350.t1.2	ChCC-v11017662m.g	Cre08.g367350.t1.2	Cre08.g367350	0.038169910774658	0.3831192178244929	1.701886721619563e-05	0.0	16.0	0.0	0.0	16.0
264	Cre08.g358522	Cre08.g358522.t1.1	ChCC-v11017140m.g	g8339.t1	g8339	0.1149384057110597	0.3590529819108675	1.5110015639738648e-06	4.0	0.0	0.0	4.0	0.0
269				g8771.t1	g8771			5.791890074844905e-05	8.0	9.0	0.0817307463897391	8.0	9.0
274	Cre08.g363800	Cre08.g363800.t1.1	ChCC-v11017484m.g	Cre08.g363800.t1.3	Cre08.g363800	0.11153321739858	0.4570568466864635	0.000624587074536	12.0	17.0	0.1286270811914907	12.0	17.0
275	Cre08.g373300	Cre08.g373300.t1.1	ChCC-v11017903m.g	Cre08.g373300.t1.2	Cre08.g373300	0.0418544004037483	0.5178306142216518	0.0004878245187191	55.0	24.0	0.2487966021110353	55.0	24.0
277				g8643.t2	g8643	0.0717185210008084	0.4223205392338107	0.0004138215419921	0.0	19.0	0.0	0.0	19.0
280	Cre08.g378000	Cre08.g378000.t1.2	ChCC-v11018079m.g	Cre08.g378000.t1.2	Cre08.g378000	0.0242837886310962	0.2912780060616482	0.0005513550849393	8.0	11.0	0.1919519018817659	8.0	11.0
281	Cre08.g368350	Cre08.g368350.t1.1	ChCC-v11017700m.g	Cre08.g368350.t1.3	Cre08.g368350	0.0528832748911279	0.3368274580261263	0.00045122928593	9.0	1.0	0.0249297537248459	9.0	1.0
282	Cre08.g362450	Cre08.g362450.t1.2	ChCC-v11017417m.g	Cre08.g362450.t1.2	Cre08.g362450	0.0225580914279584	0.2368237808959547	0.0002795078195965	23.0	16.0	0.0783571380133494	23.0	16.0
283				Cre08.g385683.t1.2	Cre08.g385683			0.0004360357185465	10.0	12.0	0.0115343670016573	10.0	12.0
286				g8786.t1	g8786			0.0002967612644289	3.0	7.0	0.0352794004480011	3.0	7.0
287				Cre08.g363650.t1.3	Cre08.g363650			0.0	0.0	1.0	0.0	0.0	1.0
289				Cre08.g369950.t1.3	Cre08.g369950			0.0018224381746971	31.0	14.0	1.097427511694767	31.0	14.0
295				Cre08.g383350.t1.3	Cre08.g383350			0.0002073439987519	2.0	50.0	0.0738798078331331	2.0	50.0
296				g8358.t1	g8358			0.0001668799905206	15.0	4.0	0.0045945421013568	15.0	4.0
297	Cre08.g378500	Cre08.g378500.t1.1	ChCC-v11018105m.g	g8910.t1	g8910	0.1227474844571295	0.393110178614115	0.0	0.0	2.0	0.0	0.0	2.0
298				g8884.t1	g8884			3.0721121207242966e-05	12.0	7.0	0.0289779321760315	12.0	7.0
299	Cre08.g370500	Cre08.g370500.t1.1	ChCC-v11017786m.g	Cre08.g370500.t1.3	Cre08.g370500	0.0736400434385693	0.5120396680482646	0.0	0.0	1.0	0.0	0.0	1.0
303	Cre08.g365692	Cre08.g365692.t1.1	ChCC-v11017569m.g	g8568.t1	g8568	0.0169438904165486	0.1725447322594371	5.477474606816411e-05	2.0	2.0	0.0024295764184953	2.0	2.0
304				Cre08.g358500.t1.2	Cre08.g358500			1.768067755594155e-05	0.0	9.0	0.0	0.0	9.0
305	Cre08.g368300	Cre08.g368300.t1.1	ChCC-v11017698m.g	Cre08.g368300.t1.3	Cre08.g368300	0.2086271366880618	0.4714564945667805	0.0001356121131058	10.0	2.0	0.0143441713162661	10.0	2.0
306	Cre08.g385800	Cre08.g385800.t1.1	ex.Chreiv61e018791m.g	Cre08.g385800.t1.3	Cre08.g385800	0.2248472024569161	0.462739364695786	0.0002369106846718	1.0	1.0	0.0119043058215222	1.0	1.0
309	Cre08.g359600	Cre08.g359600.t1.2	ChCC-v11017263m.g	Cre08.g359600.t1.2	Cre08.g359600	0.1355421265726932	0.6178944655613896	0.0	1.0	0.0	0.0	1.0	0.0
313	Cre08.g383950	Cre08.g383950.t1.1	ChCC-v11018363m.g	Cre08.g383950.t1.1	Cre08.g383950	0.3575021657999669	0.5108616618698584	0.0	1.0	0.0	0.0	1.0	0.0
317				g8752.t1	g8752			0.0004524872225365	19.0	5.0	0.858087246372845	19.0	5.0
319				Cre08.g372050.t1.2	Cre08.g372050			0.0139883162327167	1.0	11.0	0.1983082617549008	1.0	11.0
323				g8745.t1	g8745			7.295174040412886e-05	4.0	17.0	0.0006616836261536	4.0	17.0
330	Cre08.g376000	Cre08.g376000.t1.1	ChCC-v11017996m.g	g8858.t1	g8858	0.1156130098704436	0.3904008284197137	0.0045044703490522	6.0	3.0	0.0114216098291857	6.0	3.0
333	Cre08.g363300	Cre08.g363300.t1.2	ChCC-v11017458m.g	Cre08.g363300.t1.2	Cre08.g363300	0.0584187799718111	0.2342810137816143	0.0	1.0	1.0	0.0	1.0	1.0
338	Cre08.g362250	Cre08.g362250.t1.1	ChCC-v11017400m.g	Cre08.g362250.t1.3	Cre08.g362250	0.3216470297416521	0.5868439066012625	0.0016697235573927	14.0	25.0	8.20766756740416	14.0	25.0
342	Cre08.g382400	Cre08.g382400.t1.1	ChCC-v11018283m.g	Cre08.g382400.t1.3	Cre08.g382400	0.130196104241788	0.4557764809522952	0.0001750930446713	0.0	25.0	0.0	0.0	25.0
343	Cre08.g384700	Cre08.g384700.t1.1	ChCC-v11018404m.g	Cre08.g384700.t1.3	Cre08.g384700	0.0897378373733842	0.4036283082423896	0.0003706963137791	3.0	9.0	0.0276669229269858	3.0	9.0
352	Cre08.g365200	Cre08.g365200.t1.2	ChCC-v11017549m.g	Cre08.g365200.t1.2	Cre08.g365200	0.0385689088555778	0.181284879630568	0.000764064632146	5.0	3.0	0.067546192273235	5.0	3.0
355	Cre08.g370350	Cre08.g370350.t1.2	ChCC-v11017780m.g	Cre08.g370350.t1.2	Cre08.g370350	0.0285176925228446	0.4257641141857738	0.0002718246907632	12.0	7.0	0.2170291068309254	12.0	7.0
357				Cre08.g361000.t1.2	Cre08.g361000			9.046644988952931e-05	77.0	26.0	0.0652673624211856	77.0	26.0
358	Cre08.g363837	Cre08.g363837.t1.1	ChCC-v11017485m.g	g8521.t1	g8521	0.1414406987794507	0.4771848366528686	0.0073081624074119	25.0	22.0	1.945675719560164	25.0	22.0
359	Cre08.g370401	Cre08.g370401.t1.1	ChCC-v11017782m.g	Cre08.g370400.t1.2	Cre08.g370400	0.0147580306352585	0.1147270085860703	0.0006963114245407	15.0	6.0	0.0050566326430205	15.0	6.0
361	Cre08.g364501	Cre08.g364501.t1.1	ex.Cre08.g364501.t1.1.g	g8534.t1	g8534	0.1582845988792376	0.5827328396080232	0.0002369106846718	1.0	1.0	0.0005241168256797	1.0	1.0
