Source_Name	Sample	Comment_Sample_description	Comment_Sample_description	Comment_Sample_source_name	Characteristics_Organism	Term_Source_REF	Term_Accession_Number	Extract_Name	Material_Type	Labeled Extract Name	Label	Hybridization_Name	Array_Design_REF	Protocol_REF	Protocol_REF	Normalization_Name	Derived_Array_Data_File	Comment_Derived_ArrayExpress_FTP_file
GSM94470 1	PB306-1	Simple annotation: evolution, Thomas Strains	Image: http://smd.stanford.edu/MicroArray/gifs/2003-07/42694.gif	PB306-1	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94470 extract 1	total RNA	GSM94470 LE 1	Cy3	GSM94470	A-GEOD-3399	P-GSE4123-1	P-GSE4123-2	GSM94470_sample_table.txt norm	GSM94470_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94470 2	AB1	Simple annotation: evolution, Thomas Strains	Image: http://smd.stanford.edu/MicroArray/gifs/2003-07/42694.gif	AB1	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94470 extract 2	total RNA	GSM94470 LE 2	Cy5	GSM94470	A-GEOD-3399	P-GSE4123-1	P-GSE4123-2	GSM94470_sample_table.txt norm	GSM94470_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94469 1	AB1-1(A) (green)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-06/17478.gif	AB1-1(A) (green)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94469 extract 1	total RNA	GSM94469 LE 1	Cy3	GSM94469	A-GEOD-2646	P-GSE4123-1	P-GSE4123-2	GSM94469_sample_table.txt norm	GSM94469_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94469 2	PB306-1(B) (red)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-06/17478.gif	PB306-1(B) (red)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94469 extract 2	total RNA	GSM94469 LE 2	Cy5	GSM94469	A-GEOD-2646	P-GSE4123-1	P-GSE4123-2	GSM94469_sample_table.txt norm	GSM94469_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94468 2	N2-1(B) (red)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-05/16498.gif	N2-1(B) (red)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94468 extract 2	total RNA	GSM94468 LE 2	Cy5	GSM94468	A-GEOD-3178	P-GSE4123-1	P-GSE4123-2	GSM94468_sample_table.txt norm	GSM94468_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94468 1	PB303-1(A) (green)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-05/16498.gif	PB303-1(A) (green)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94468 extract 1	total RNA	GSM94468 LE 1	Cy3	GSM94468	A-GEOD-3178	P-GSE4123-1	P-GSE4123-2	GSM94468_sample_table.txt norm	GSM94468_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94467 2	N2	Simple annotation: evolution, Thomas Strains	Image: http://smd.stanford.edu/MicroArray/gifs/2003-07/42693.gif	N2	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94467 extract 2	total RNA	GSM94467 LE 2	Cy5	GSM94467	A-GEOD-3399	P-GSE4123-1	P-GSE4123-2	GSM94467_sample_table.txt norm	GSM94467_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94467 1	PB303	Simple annotation: evolution, Thomas Strains	Image: http://smd.stanford.edu/MicroArray/gifs/2003-07/42693.gif	PB303	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94467 extract 1	total RNA	GSM94467 LE 1	Cy3	GSM94467	A-GEOD-3399	P-GSE4123-1	P-GSE4123-2	GSM94467_sample_table.txt norm	GSM94467_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94466 1	PB303-4(B) (green)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-06/17477.gif	PB303-4(B) (green)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94466 extract 1	total RNA	GSM94466 LE 1	Cy3	GSM94466	A-GEOD-2646	P-GSE4123-1	P-GSE4123-2	GSM94466_sample_table.txt norm	GSM94466_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94466 2	PB306-4(A) (red)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-06/17477.gif	PB306-4(A) (red)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94466 extract 2	total RNA	GSM94466 LE 2	Cy5	GSM94466	A-GEOD-2646	P-GSE4123-1	P-GSE4123-2	GSM94466_sample_table.txt norm	GSM94466_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94465 2	MA83-3(A) (red)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-05/16497.gif	MA83-3(A) (red)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94465 extract 2	total RNA	GSM94465 LE 2	Cy5	GSM94465	A-GEOD-2646	P-GSE4123-1	P-GSE4123-2	GSM94465_sample_table.txt norm	GSM94465_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94465 1	MA41-3(B) (green)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-05/16497.gif	MA41-3(B) (green)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94465 extract 1	total RNA	GSM94465 LE 1	Cy3	GSM94465	A-GEOD-2646	P-GSE4123-1	P-GSE4123-2	GSM94465_sample_table.txt norm	GSM94465_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94464 2	MA99	Simple annotation: evolution, Thomas Strains	Image: http://smd.stanford.edu/MicroArray/gifs/2003-07/42692.gif	MA99	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94464 extract 2	total RNA	GSM94464 LE 2	Cy5	GSM94464	A-GEOD-3399	P-GSE4123-1	P-GSE4123-2	GSM94464_sample_table.txt norm	GSM94464_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94464 1	N2	Simple annotation: evolution, Thomas Strains	Image: http://smd.stanford.edu/MicroArray/gifs/2003-07/42692.gif	N2	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94464 extract 1	total RNA	GSM94464 LE 1	Cy3	GSM94464	A-GEOD-3399	P-GSE4123-1	P-GSE4123-2	GSM94464_sample_table.txt norm	GSM94464_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94463 2	PB303-2(B) (red)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-06/17476.gif	PB303-2(B) (red)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94463 extract 2	total RNA	GSM94463 LE 2	Cy5	GSM94463	A-GEOD-3178	P-GSE4123-1	P-GSE4123-2	GSM94463_sample_table.txt norm	GSM94463_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94463 1	PB306-2(A) (green)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-06/17476.gif	PB306-2(A) (green)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94463 extract 1	total RNA	GSM94463 LE 1	Cy3	GSM94463	A-GEOD-3178	P-GSE4123-1	P-GSE4123-2	GSM94463_sample_table.txt norm	GSM94463_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94462 1	CB4856-2(A) (green)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-06/17549.gif	CB4856-2(A) (green)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94462 extract 1	total RNA	GSM94462 LE 1	Cy3	GSM94462	A-GEOD-2766	P-GSE4123-1	P-GSE4123-2	GSM94462_sample_table.txt norm	GSM94462_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94462 2	AB1-2(B) (red)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-06/17549.gif	AB1-2(B) (red)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94462 extract 2	total RNA	GSM94462 LE 2	Cy5	GSM94462	A-GEOD-2766	P-GSE4123-1	P-GSE4123-2	GSM94462_sample_table.txt norm	GSM94462_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94461 1	MA41-4(B) (green)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-05/16496.gif	MA41-4(B) (green)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94461 extract 1	total RNA	GSM94461 LE 1	Cy3	GSM94461	A-GEOD-2646	P-GSE4123-1	P-GSE4123-2	GSM94461_sample_table.txt norm	GSM94461_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94461 2	MA83-4(A) (red)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-05/16496.gif	MA83-4(A) (red)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94461 extract 2	total RNA	GSM94461 LE 2	Cy5	GSM94461	A-GEOD-2646	P-GSE4123-1	P-GSE4123-2	GSM94461_sample_table.txt norm	GSM94461_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94460 2	MA99	Simple annotation: evolution, Thomas Strains	Image: http://smd.stanford.edu/MicroArray/gifs/2003-07/42691.gif	MA99	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94460 extract 2	total RNA	GSM94460 LE 2	Cy5	GSM94460	A-GEOD-3399	P-GSE4123-1	P-GSE4123-2	GSM94460_sample_table.txt norm	GSM94460_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94460 1	N2	Simple annotation: evolution, Thomas Strains	Image: http://smd.stanford.edu/MicroArray/gifs/2003-07/42691.gif	N2	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94460 extract 1	total RNA	GSM94460 LE 1	Cy3	GSM94460	A-GEOD-3399	P-GSE4123-1	P-GSE4123-2	GSM94460_sample_table.txt norm	GSM94460_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94459 2	PB303-1(B) (red)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-06/17475.gif	PB303-1(B) (red)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94459 extract 2	total RNA	GSM94459 LE 2	Cy5	GSM94459	A-GEOD-3178	P-GSE4123-1	P-GSE4123-2	GSM94459_sample_table.txt norm	GSM94459_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94459 1	PB306-1(A) (green)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-06/17475.gif	PB306-1(A) (green)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94459 extract 1	total RNA	GSM94459 LE 1	Cy3	GSM94459	A-GEOD-3178	P-GSE4123-1	P-GSE4123-2	GSM94459_sample_table.txt norm	GSM94459_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94458 2	N2-4(A) (red)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-06/17548.gif	N2-4(A) (red)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94458 extract 2	total RNA	GSM94458 LE 2	Cy5	GSM94458	A-GEOD-2766	P-GSE4123-1	P-GSE4123-2	GSM94458_sample_table.txt norm	GSM94458_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94458 1	CB4856-4(B) (green)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-06/17548.gif	CB4856-4(B) (green)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94458 extract 1	total RNA	GSM94458 LE 1	Cy3	GSM94458	A-GEOD-2766	P-GSE4123-1	P-GSE4123-2	GSM94458_sample_table.txt norm	GSM94458_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94457 1	MA83-1(A) (green)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-05/16495.gif	MA83-1(A) (green)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94457 extract 1	total RNA	GSM94457 LE 1	Cy3	GSM94457	A-GEOD-2646	P-GSE4123-1	P-GSE4123-2	GSM94457_sample_table.txt norm	GSM94457_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94457 2	MA41-1(B) (red)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-05/16495.gif	MA41-1(B) (red)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94457 extract 2	total RNA	GSM94457 LE 2	Cy5	GSM94457	A-GEOD-2646	P-GSE4123-1	P-GSE4123-2	GSM94457_sample_table.txt norm	GSM94457_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94456 1	MA99	Simple annotation: evolution, Thomas Strains	Image: http://smd.stanford.edu/MicroArray/gifs/2003-07/42690.gif	MA99	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94456 extract 1	total RNA	GSM94456 LE 1	Cy3	GSM94456	A-GEOD-3399	P-GSE4123-1	P-GSE4123-2	GSM94456_sample_table.txt norm	GSM94456_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94456 2	N2	Simple annotation: evolution, Thomas Strains	Image: http://smd.stanford.edu/MicroArray/gifs/2003-07/42690.gif	N2	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94456 extract 2	total RNA	GSM94456 LE 2	Cy5	GSM94456	A-GEOD-3399	P-GSE4123-1	P-GSE4123-2	GSM94456_sample_table.txt norm	GSM94456_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94455 2	PB303-4(A) (red)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-06/17474.gif	PB303-4(A) (red)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94455 extract 2	total RNA	GSM94455 LE 2	Cy5	GSM94455	A-GEOD-3178	P-GSE4123-1	P-GSE4123-2	GSM94455_sample_table.txt norm	GSM94455_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94455 1	N2-4(B) (green)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-06/17474.gif	N2-4(B) (green)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94455 extract 1	total RNA	GSM94455 LE 1	Cy3	GSM94455	A-GEOD-3178	P-GSE4123-1	P-GSE4123-2	GSM94455_sample_table.txt norm	GSM94455_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94454 1	CB4856-3(B) (green)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-06/17547.gif	CB4856-3(B) (green)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94454 extract 1	total RNA	GSM94454 LE 1	Cy3	GSM94454	A-GEOD-2766	P-GSE4123-1	P-GSE4123-2	GSM94454_sample_table.txt norm	GSM94454_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94454 2	N2-3(A) (red)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-06/17547.gif	N2-3(A) (red)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94454 extract 2	total RNA	GSM94454 LE 2	Cy5	GSM94454	A-GEOD-2766	P-GSE4123-1	P-GSE4123-2	GSM94454_sample_table.txt norm	GSM94454_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94453 1	MA83-3(B) (green)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-05/16494.gif	MA83-3(B) (green)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94453 extract 1	total RNA	GSM94453 LE 1	Cy3	GSM94453	A-GEOD-2646	P-GSE4123-1	P-GSE4123-2	GSM94453_sample_table.txt norm	GSM94453_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
GSM94453 2	MA99-3(A) (red)	Simple annotation: C. elegans, C. elegans	Image: http://smd.stanford.edu/MicroArray/gifs/2001-05/16494.gif	MA99-3(A) (red)	Caenorhabditis elegans	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_6239	GSM94453 extract 2	total RNA	GSM94453 LE 2	Cy5	GSM94453	A-GEOD-2646	P-GSE4123-1	P-GSE4123-2	GSM94453_sample_table.txt norm	GSM94453_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4123/E-GEOD-4123.processed.1.zip
