	total_exon_length
ChCC-v11000454m.g	5108
ChCC-v11000458m.g	4557
ChCC-v11000459m.g	1852
ChCC-v11000460m.g	2018
ChCC-v11000467m.g	3762
ChCC-v11000470m.g	2031
ChCC-v11000471m.g	4157
ChCC-v11000473m.g	2953
ChCC-v11000474m.g	5174
ChCC-v11000476m.g	1605
ChCC-v11000477m.g	5768
ChCC-v11000479m.g	7416
ChCC-v11000482m.g	4656
ChCC-v11000483m.g	4937
ChCC-v11000484m.g	2337
ChCC-v11000487m.g	3917
ChCC-v11000489m.g	2995
ChCC-v11000491m.g	1646
ChCC-v11000492m.g	2103
ChCC-v11000494m.g	7367
ChCC-v11000501m.g	2727
ChCC-v11000503m.g	5980
ChCC-v11000504m.g	6548
ChCC-v11000508m.g	6988
ChCC-v11000515m.g	1830
ChCC-v11000516m.g	4559
ChCC-v11000524m.g	2483
ChCC-v11000525m.g	1670
ChCC-v11000531m.g	561
ChCC-v11000532m.g	1300
ChCC-v11000538m.g	227
ChCC-v11000539m.g	3036
ChCC-v11000540m.g	7550
ChCC-v11000541m.g	936
ChCC-v11000542m.g	4603
ChCC-v11000545m.g	3729
ChCC-v11000547m.g	1975
ChCC-v11000548m.g	3863
ChCC-v11000549m.g	1730
ChCC-v11000550m.g	3076
ChCC-v11000553m.g	4153
ChCC-v11000558m.g	1640
ChCC-v11000560m.g	4703
ChCC-v11000563m.g	888
ChCC-v11000564m.g	1354
ChCC-v11000566m.g	760
ChCC-v11000567m.g	3200
ChCC-v11000572m.g	1250
ChCC-v11000575m.g	2358
ChCC-v11000576m.g	2159
ChCC-v11000577m.g	846
ChCC-v11000579m.g	7305
ChCC-v11000582m.g	6990
ChCC-v11000584m.g	925
ChCC-v11000589m.g	4439
ChCC-v11000591m.g	2186
ChCC-v11000595m.g	2845
ChCC-v11000599m.g	1948
ChCC-v11000602m.g	2796
ChCC-v11000603m.g	3469
ChCC-v11000606m.g	5729
ChCC-v11000616m.g	5433
ChCC-v11000617m.g	644
ChCC-v11000618m.g	2216
ChCC-v11000619m.g	5462
ChCC-v11000620m.g	1209
ChCC-v11000621m.g	995
ChCC-v11000623m.g	1564
ChCC-v11000628m.g	2493
ChCC-v11000633m.g	1001
ChCC-v11000636m.g	6853
ChCC-v11000641m.g	824
ChCC-v11000645m.g	1914
ChCC-v11000646m.g	4076
ChCC-v11000648m.g	2360
ChCC-v11000650m.g	18380
ChCC-v11000654m.g	1495
ChCC-v11000655m.g	2810
ChCC-v11000658m.g	3526
ChCC-v11000659m.g	2771
ChCC-v11000663m.g	5694
ChCC-v11000665m.g	6927
ChCC-v11000668m.g	2309
ChCC-v11000669m.g	6613
ChCC-v11000672m.g	4202
ChCC-v11000673m.g	3766
ChCC-v11000676m.g	6965
ChCC-v11000679m.g	4037
ChCC-v11000686m.g	865
ChCC-v11000688m.g	347
ChCC-v11000689m.g	302
ChCC-v11000690m.g	3107
ChCC-v11000695m.g	1630
ChCC-v11000699m.g	858
ChCC-v11000700m.g	2744
ChCC-v11000702m.g	2030
ChCC-v11000708m.g	640
ChCC-v11000710m.g	1982
ChCC-v11000713m.g	3192
ChCC-v11000715m.g	5034
ChCC-v11000717m.g	5074
ChCC-v11000720m.g	1721
ChCC-v11000721m.g	1027
ChCC-v11000723m.g	639
ChCC-v11000724m.g	2510
ChCC-v11000725m.g	2465
ChCC-v11000727m.g	1637
ChCC-v11000729m.g	3166
ChCC-v11000739m.g	1320
ChCC-v11000741m.g	978
ChCC-v11000744m.g	2767
ChCC-v11000745m.g	2451
ChCC-v11000746m.g	3837
ChCC-v11000748m.g	5216
ChCC-v11000758m.g	4543
ChCC-v11000759m.g	580
ChCC-v11000761m.g	2007
ChCC-v11000763m.g	5209
ChCC-v11000772m.g	3475
ChCC-v11000773m.g	2250
ChCC-v11000775m.g	1389
ChCC-v11000777m.g	1564
ChCC-v11000781m.g	2224
ChCC-v11000783m.g	3627
ChCC-v11000784m.g	1936
ChCC-v11000787m.g	3272
ChCC-v11000792m.g	3001
ChCC-v11000793m.g	2426
ChCC-v11000794m.g	7654
ChCC-v11000796m.g	15415
ChCC-v11000800m.g	2413
ChCC-v11000802m.g	5965
ChCC-v11000804m.g	2978
ChCC-v11000806m.g	3384
ChCC-v11000807m.g	2361
ChCC-v11000809m.g	1833
ChCC-v11000811m.g	4519
ChCC-v11000812m.g	1254
ChCC-v11000814m.g	1767
ChCC-v11000815m.g	9273
ChCC-v11000821m.g	321
ChCC-v11000822m.g	569
ChCC-v11000824m.g	1483
ChCC-v11000825m.g	257
ChCC-v11000827m.g	1398
ChCC-v11000829m.g	981
ChCC-v11000830m.g	1463
ChCC-v11000831m.g	1944
ChCC-v11000835m.g	256
ChCC-v11000836m.g	832
ChCC-v11000840m.g	2745
ChCC-v11000843m.g	8047
ChCC-v11000844m.g	1565
ChCC-v11000845m.g	2002
ChCC-v11000847m.g	3957
ChCC-v11000848m.g	2572
ChCC-v11000849m.g	3614
ChCC-v11000851m.g	3972
ChCC-v11000854m.g	3035
ChCC-v11000855m.g	1961
ChCC-v11000857m.g	2711
ChCC-v11000861m.g	1327
ChCC-v11000865m.g	4803
ChCC-v11000866m.g	1551
ChCC-v11000867m.g	1309
ChCC-v11000870m.g	2317
ChCC-v11000871m.g	1633
ChCC-v11000873m.g	4005
ChCC-v11000874m.g	235
ChCC-v11000875m.g	481
ChCC-v11000876m.g	1422
ChCC-v11000877m.g	215
ChCC-v11000878m.g	2062
ChCC-v11000880m.g	3625
ChCC-v11000881m.g	8787
ChCC-v11000882m.g	1191
ChCC-v11000884m.g	1574
ChCC-v11000885m.g	1255
ChCC-v11000888m.g	2470
ChCC-v11000889m.g	3419
ChCC-v11000892m.g	2904
ChCC-v11000893m.g	2181
ChCC-v11000895m.g	3353
ChCC-v11000897m.g	4048
ChCC-v11000899m.g	1899
ChCC-v11000904m.g	167
ChCC-v11000907m.g	2944
ChCC-v11000908m.g	2982
ChCC-v11000911m.g	3304
ChCC-v11000914m.g	371
ChCC-v11000915m.g	4477
ChCC-v11000918m.g	2236
ChCC-v11000919m.g	2378
ChCC-v11000922m.g	1474
ChCC-v11000924m.g	737
ChCC-v11000925m.g	1692
ChCC-v11000932m.g	3372
ChCC-v11000936m.g	2930
ChCC-v11000937m.g	2311
ChCC-v11000939m.g	3094
ChCC-v11000940m.g	7906
ChCC-v11000944m.g	1057
ChCC-v11000945m.g	5651
ChCC-v11000950m.g	1921
ChCC-v11000952m.g	4336
ChCC-v11000957m.g	2306
ChCC-v11000964m.g	1714
ChCC-v11000965m.g	3857
ChCC-v11000970m.g	2047
ChCC-v11000973m.g	429
ChCC-v11000975m.g	3152
ChCC-v11000976m.g	1610
ChCC-v11000979m.g	1862
ChCC-v11000980m.g	3067
ChCC-v11000981m.g	3025
ChCC-v11000983m.g	1646
ChCC-v11000984m.g	1434
ChCC-v11000986m.g	12756
ChCC-v11000991m.g	1009
ChCC-v11000993m.g	3872
ChCC-v11000995m.g	5286
ChCC-v11000999m.g	656
ChCC-v11001001m.g	3312
ChCC-v11001002m.g	7255
ChCC-v11001003m.g	2971
ChCC-v11001005m.g	3552
ChCC-v11001007m.g	3251
ChCC-v11001008m.g	2535
ChCC-v11001011m.g	1015
ChCC-v11001012m.g	2824
ChCC-v11001015m.g	9069
ChCC-v11001017m.g	3161
ChCC-v11001019m.g	3958
ChCC-v11001021m.g	2856
ChCC-v11001026m.g	1439
ChCC-v11001027m.g	1620
ChCC-v11001030m.g	231
ChCC-v11001031m.g	319
ChCC-v11001032m.g	1913
ChCC-v11001033m.g	812
ChCC-v11001034m.g	5420
ChCC-v11001035m.g	1250
ChCC-v11001038m.g	774
ChCC-v11001046m.g	2502
ChCC-v11001048m.g	10083
ChCC-v11001049m.g	4014
ChCC-v11001052m.g	4068
ChCC-v11001057m.g	2086
ChCC-v11001058m.g	2600
ChCC-v11001059m.g	977
ChCC-v11001060m.g	1765
ChCC-v11001061m.g	6459
ChCC-v11001062m.g	2108
ChCC-v11001065m.g	1332
ChCC-v11001067m.g	1433
ChCC-v11001070m.g	694
ChCC-v11001073m.g	389
ChCC-v11001074m.g	1515
ChCC-v11001078m.g	3787
ChCC-v11001081m.g	3203
ChCC-v11001086m.g	4530
ChCC-v11001089m.g	2566
ChCC-v11001091m.g	2031
ChCC-v11001092m.g	6163
ChCC-v11001094m.g	1565
ChCC-v11001095m.g	2309
ChCC-v11001096m.g	7796
ChCC-v11001098m.g	2746
ChCC-v11001099m.g	22729
ChCC-v11001100m.g	2793
ChCC-v11001102m.g	373
ChCC-v11001103m.g	6354
ChCC-v11001104m.g	2944
ChCC-v11001108m.g	806
ChCC-v11001109m.g	2056
ChCC-v11001110m.g	1120
ChCC-v11001112m.g	5951
ChCC-v11001113m.g	2499
ChCC-v11001116m.g	1099
ChCC-v11001117m.g	2806
ChCC-v11001119m.g	1732
ChCC-v11001121m.g	2501
ChCC-v11001122m.g	1946
ChCC-v11001124m.g	435
ChCC-v11001126m.g	2680
ChCC-v11001129m.g	7729
ChCC-v11001130m.g	3186
ChCC-v11001133m.g	7839
ChCC-v11001134m.g	2703
ChCC-v11001137m.g	3379
ChCC-v11001138m.g	1745
ChCC-v11001139m.g	1592
ChCC-v11001141m.g	2568
ChCC-v11001142m.g	1621
ChCC-v11001148m.g	2105
ChCC-v11001152m.g	2059
ChCC-v11001157m.g	2965
ChCC-v11001159m.g	2770
ChCC-v11001160m.g	3763
ChCC-v11001167m.g	4271
ChCC-v11001169m.g	6761
ChCC-v11001170m.g	1534
ChCC-v11001173m.g	6772
ChCC-v11001175m.g	5724
ChCC-v11001176m.g	1749
ChCC-v11001177m.g	3450
ChCC-v11001178m.g	9740
ChCC-v11001179m.g	2495
ChCC-v11001180m.g	1517
ChCC-v11001182m.g	931
ChCC-v11001184m.g	3099
ChCC-v11001185m.g	2716
ChCC-v11001187m.g	1620
ChCC-v11001188m.g	1238
ChCC-v11001190m.g	1952
ChCC-v11001192m.g	7329
ChCC-v11001194m.g	829
ChCC-v11001195m.g	3095
ChCC-v11001196m.g	2879
ChCC-v11001197m.g	2816
ChCC-v11001198m.g	5338
ChCC-v11001202m.g	1128
ChCC-v11001204m.g	8837
ChCC-v11001205m.g	3720
ChCC-v11001210m.g	6925
ChCC-v11001219m.g	8324
ChCC-v11001226m.g	7254
ChCC-v11001227m.g	404
ChCC-v11001229m.g	4728
ChCC-v11001231m.g	3543
ChCC-v11001234m.g	3726
ChCC-v11001235m.g	5014
ChCC-v11001237m.g	2817
ChCC-v11001238m.g	2192
ChCC-v11001240m.g	3394
ChCC-v11001242m.g	1532
ChCC-v11001244m.g	1424
ChCC-v11001246m.g	1535
ChCC-v11001249m.g	15281
ChCC-v11001250m.g	1996
ChCC-v11001252m.g	2496
ChCC-v11001254m.g	7422
ChCC-v11001257m.g	2651
ChCC-v11001258m.g	646
ChCC-v11001260m.g	1956
ChCC-v11001262m.g	2627
ChCC-v11001263m.g	9457
ChCC-v11001264m.g	4525
ChCC-v11001267m.g	4985
ChCC-v11001269m.g	2125
ChCC-v11001270m.g	5247
ChCC-v11001274m.g	575
ChCC-v11001275m.g	4458
ChCC-v11001277m.g	6408
ChCC-v11001278m.g	983
ChCC-v11001281m.g	3846
ChCC-v11001283m.g	2266
ChCC-v11001284m.g	2568
ChCC-v11001285m.g	5812
ChCC-v11001286m.g	5671
ChCC-v11001288m.g	1552
ChCC-v11001293m.g	1613
ChCC-v11001294m.g	2665
ChCC-v11001296m.g	2233
ChCC-v11001297m.g	1435
ChCC-v11001298m.g	1442
ChCC-v11001300m.g	5393
ChCC-v11001302m.g	2781
ChCC-v11001304m.g	2809
ChCC-v11001305m.g	3129
ChCC-v11001307m.g	3428
ChCC-v11001308m.g	1409
ChCC-v11001309m.g	576
ChCC-v11001314m.g	765
ChCC-v11001315m.g	1429
ChCC-v11001316m.g	623
ChCC-v11001322m.g	1034
ChCC-v11001325m.g	1244
ChCC-v11001326m.g	5791
ChCC-v11001327m.g	585
ChCC-v11001328m.g	2826
ChCC-v11001329m.g	1963
ChCC-v11001331m.g	7554
ChCC-v11001332m.g	3752
ChCC-v11001336m.g	432
ChCC-v11001337m.g	1442
ChCC-v11001339m.g	1944
ChCC-v11001348m.g	1701
ChCC-v11001350m.g	1549
ChCC-v11001352m.g	2859
ChCC-v11001354m.g	2101
ChCC-v11001355m.g	1560
ChCC-v11001357m.g	453
ChCC-v11001361m.g	3115
ChCC-v11001362m.g	3040
ChCC-v11001364m.g	1911
ChCC-v11001365m.g	461
ChCC-v11001369m.g	3573
ChCC-v11001370m.g	1874
ChCC-v11001372m.g	925
ChCC-v11001375m.g	1815
ChCC-v11001377m.g	5129
ChCC-v11001380m.g	1315
ChCC-v11001382m.g	1693
ChCC-v11001385m.g	2577
ChCC-v11001386m.g	1098
ChCC-v11001389m.g	1706
ChCC-v11001390m.g	2686
ChCC-v11001392m.g	647
ChCC-v11001407m.g	2049
ChCC-v11001408m.g	2472
ChCC-v11001411m.g	458
ChCC-v11001412m.g	1768
ChCC-v11001414m.g	1534
ChCC-v11001418m.g	1376
ChCC-v11001419m.g	1964
ChCC-v11001420m.g	7500
ChCC-v11001423m.g	2263
ChCC-v11001424m.g	1722
ChCC-v11001426m.g	4014
ChCC-v11001427m.g	9402
ChCC-v11001430m.g	2759
ChCC-v11001438m.g	5108
ChCC-v11001442m.g	5773
ChCC-v11001443m.g	2322
ChCC-v11001445m.g	3503
ChCC-v11001446m.g	800
ChCC-v11001449m.g	4752
ChCC-v11001450m.g	3551
ChCC-v11001452m.g	2761
ChCC-v11001455m.g	2801
ChCC-v11001458m.g	3884
ChCC-v11001460m.g	3419
ChCC-v11001461m.g	1580
ChCC-v11001462m.g	746
ChCC-v11001463m.g	3700
ChCC-v11001466m.g	3251
ChCC-v11001468m.g	2206
ChCC-v11001473m.g	2622
ChCC-v11001474m.g	1927
ChCC-v11001480m.g	716
ChCC-v11001481m.g	568
ChCC-v11001482m.g	1948
ChCC-v11001484m.g	4504
ChCC-v11001488m.g	5343
ChCC-v11001490m.g	1986
ChCC-v11001493m.g	6782
ChCC-v11001499m.g	1296
ChCC-v11001500m.g	1978
ChCC-v11001501m.g	6162
ChCC-v11001506m.g	667
ChCC-v11001511m.g	6886
ChCC-v11001513m.g	2337
ChCC-v11001515m.g	3210
ChCC-v11001516m.g	2933
ChCC-v11001517m.g	1333
ChCC-v11001521m.g	4750
ChCC-v11001522m.g	4316
ChCC-v11001523m.g	1819
ChCC-v11001527m.g	296
ChCC-v11001528m.g	380
ChCC-v11001531m.g	5776
ChCC-v11001535m.g	1983
ChCC-v11001536m.g	157
ChCC-v11001537m.g	2999
ChCC-v11001538m.g	3551
ChCC-v11001540m.g	1243
ChCC-v11001542m.g	368
ChCC-v11001546m.g	2982
ChCC-v11001548m.g	1996
ChCC-v11001551m.g	1806
ChCC-v11001552m.g	4281
ChCC-v11001554m.g	2244
ChCC-v11001555m.g	2932
ChCC-v11001559m.g	8928
ChCC-v11001560m.g	809
ChCC-v11001564m.g	991
ChCC-v11001567m.g	1383
ChCC-v11001569m.g	3336
ChCC-v11001570m.g	6784
ChCC-v11001572m.g	2470
ChCC-v11001573m.g	1188
ChCC-v11001579m.g	2276
ChCC-v11001581m.g	1957
ChCC-v11001583m.g	4674
ChCC-v11001586m.g	1732
ChCC-v11001589m.g	8048
ChCC-v11001592m.g	2353
ChCC-v11001595m.g	2037
ChCC-v11001597m.g	1614
ChCC-v11001601m.g	803
ChCC-v11001602m.g	2986
ChCC-v11001603m.g	7758
ChCC-v11001604m.g	845
ChCC-v11001612m.g	441
ChCC-v11001613m.g	6760
ChCC-v11001614m.g	2518
ChCC-v11001615m.g	8548
ChCC-v11001616m.g	856
ChCC-v11001622m.g	2025
ChCC-v11001625m.g	3445
ChCC-v11001627m.g	1688
ChCC-v11001628m.g	2961
ChCC-v11001629m.g	309
ChCC-v11001633m.g	2238
ChCC-v11001634m.g	3046
ChCC-v11001635m.g	2364
ChCC-v11001640m.g	1159
ChCC-v11001642m.g	9132
ChCC-v11001644m.g	2818
ChCC-v11001645m.g	1183
ChCC-v11001646m.g	617
ChCC-v11001647m.g	1838
ChCC-v11001651m.g	2359
ChCC-v11001652m.g	2957
ChCC-v11001653m.g	4142
ChCC-v11001654m.g	1751
ChCC-v11001660m.g	4152
ChCC-v11001662m.g	6942
ChCC-v11001667m.g	8213
ChCC-v11001668m.g	333
ChCC-v11001669m.g	6036
ChCC-v11001670m.g	7576
ChCC-v11001671m.g	2505
ChCC-v11001672m.g	1578
ChCC-v11001676m.g	1613
ChCC-v11001677m.g	14043
ChCC-v11001678m.g	1374
ChCC-v11001680m.g	5438
ChCC-v11001684m.g	3345
ChCC-v11001686m.g	1462
ChCC-v11001688m.g	2371
ChCC-v11001691m.g	3002
ChCC-v11001693m.g	3925
ChCC-v11001694m.g	3571
ChCC-v11001695m.g	3265
ChCC-v11001696m.g	2281
ChCC-v11001698m.g	1966
ChCC-v11001699m.g	2750
ChCC-v11001700m.g	987
ChCC-v11001702m.g	1763
ChCC-v11001703m.g	3019
ChCC-v11001704m.g	1062
ChCC-v11001707m.g	1832
ChCC-v11001711m.g	3028
ChCC-v11001712m.g	725
ChCC-v11001713m.g	3881
ChCC-v11001714m.g	2483
ChCC-v11001715m.g	1926
ChCC-v11001716m.g	3177
ChCC-v11001717m.g	1910
ChCC-v11001722m.g	215
ChCC-v11001723m.g	4112
ChCC-v11001726m.g	3387
ChCC-v11001728m.g	4269
ChCC-v11001732m.g	5654
ChCC-v11001734m.g	5085
ChCC-v11001740m.g	3645
ChCC-v11001742m.g	3739
ChCC-v11001746m.g	7017
ChCC-v11001750m.g	4205
ChCC-v11001752m.g	2602
ChCC-v11001757m.g	8072
ChCC-v11001765m.g	4704
ChCC-v11001768m.g	4936
ChCC-v11001769m.g	1921
ChCC-v11001773m.g	1919
ChCC-v11001774m.g	1727
ChCC-v11001775m.g	475
ChCC-v11001779m.g	2520
ChCC-v11001781m.g	3630
ChCC-v11001782m.g	4258
ChCC-v11001784m.g	664
ChCC-v11001785m.g	3455
ChCC-v11001787m.g	3426
ChCC-v11001792m.g	2830
ChCC-v11001797m.g	1163
ChCC-v11001798m.g	3094
ChCC-v11001800m.g	616
ChCC-v11001801m.g	476
ChCC-v11001802m.g	3163
ChCC-v11001805m.g	3370
ChCC-v11001808m.g	971
ChCC-v11001811m.g	478
ChCC-v11001812m.g	3146
ChCC-v11001815m.g	1620
ChCC-v11001817m.g	1702
ChCC-v11001820m.g	3197
ChCC-v11001821m.g	10603
ChCC-v11001824m.g	3108
ChCC-v11001826m.g	1212
ChCC-v11001829m.g	2962
ChCC-v11001831m.g	2321
ChCC-v11001836m.g	659
ChCC-v11001837m.g	1414
ChCC-v11001839m.g	1216
ChCC-v11001840m.g	3189
ChCC-v11001842m.g	7609
ChCC-v11001844m.g	8719
ChCC-v11001846m.g	662
ChCC-v11001847m.g	3264
ChCC-v11001849m.g	5591
ChCC-v11001850m.g	1859
ChCC-v11001853m.g	2107
ChCC-v11001857m.g	1536
ChCC-v11001858m.g	2219
ChCC-v11001859m.g	2185
ChCC-v11001863m.g	3096
ChCC-v11001865m.g	3218
ChCC-v11001867m.g	1855
ChCC-v11001872m.g	1668
ChCC-v11001873m.g	4247
ChCC-v11001875m.g	708
ChCC-v11001876m.g	2191
ChCC-v11001878m.g	5451
ChCC-v11001882m.g	1627
ChCC-v11001883m.g	986
ChCC-v11001884m.g	10371
ChCC-v11001889m.g	879
ChCC-v11001890m.g	1595
ChCC-v11001892m.g	1682
ChCC-v11001894m.g	2820
ChCC-v11001895m.g	3212
ChCC-v11001896m.g	4294
ChCC-v11001899m.g	2033
ChCC-v11001902m.g	5168
ChCC-v11001906m.g	1351
ChCC-v11001908m.g	5208
ChCC-v11001909m.g	1077
ChCC-v11001910m.g	6390
ChCC-v11001913m.g	470
ChCC-v11001916m.g	2874
ChCC-v11001922m.g	784
ChCC-v11001923m.g	4673
ChCC-v11001926m.g	3218
ChCC-v11001927m.g	1435
ChCC-v11001931m.g	2065
ChCC-v11001932m.g	916
ChCC-v11001935m.g	2092
ChCC-v11001937m.g	2597
ChCC-v11001938m.g	3748
ChCC-v11001939m.g	3157
ChCC-v11001942m.g	2801
ChCC-v11001944m.g	1627
ChCC-v11001945m.g	4465
ChCC-v11001947m.g	3414
ChCC-v11001948m.g	1111
ChCC-v11001955m.g	454
ChCC-v11001956m.g	1362
ChCC-v11001958m.g	3037
ChCC-v11001964m.g	1693
ChCC-v11001965m.g	6463
ChCC-v11001972m.g	4141
ChCC-v11001974m.g	214
ChCC-v11001977m.g	857
ChCC-v11001979m.g	3667
ChCC-v11001984m.g	404
ChCC-v11001985m.g	3243
ChCC-v11001986m.g	549
ChCC-v11001988m.g	371
ChCC-v11001991m.g	2985
ChCC-v11001993m.g	2336
ChCC-v11001995m.g	7395
ChCC-v11001998m.g	1154
ChCC-v11002002m.g	2473
ChCC-v11002010m.g	2199
ChCC-v11002012m.g	1837
ChCC-v11002016m.g	1709
ChCC-v11002018m.g	3393
ChCC-v11002019m.g	5677
ChCC-v11002020m.g	5952
ChCC-v11002021m.g	1593
ChCC-v11002022m.g	1160
ChCC-v11002024m.g	2187
ChCC-v11002026m.g	2653
ChCC-v11002030m.g	2128
ChCC-v11002031m.g	5573
ChCC-v11002034m.g	1539
ChCC-v11002035m.g	3544
ChCC-v11002037m.g	8385
ChCC-v11002038m.g	1160
ChCC-v11002040m.g	8321
ChCC-v11002041m.g	2764
ChCC-v11002042m.g	2630
ChCC-v11002044m.g	988
ChCC-v11002045m.g	4716
ChCC-v11002049m.g	6494
ChCC-v11002053m.g	4262
ChCC-v11002054m.g	5649
ChCC-v11002057m.g	513
ChCC-v11002058m.g	2903
ChCC-v11002059m.g	9640
ChCC-v11002061m.g	3360
ChCC-v11002068m.g	3019
ChCC-v11002071m.g	3947
ChCC-v11002073m.g	588
ChCC-v11002074m.g	2631
ChCC-v11002079m.g	3670
ChCC-v11002084m.g	2476
ChCC-v11002085m.g	1363
ChCC-v11002086m.g	2044
