Annotation Cluster 1	Enrichment Score: 24.742620208019364
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0009416~response to light stimulus	5	2.0746887966804977	0.01245204694373987	5723050, 5728187, 5719625, 5719633, 5720993	144	29	4507	5.396312260536399	0.7350472240563248	0.2033031742548108	0.20138521978070878
KEGG_PATHWAY	cre00196:Photosynthesis - antenna proteins	5	2.0746887966804977	0.013405075567240278	5723050, 5728187, 5719625, 5719633, 5720993	85	22	1930	5.160427807486631	0.4838154901909394	0.3284243513973868	0.3284243513973868
GOTERM_BP_DIRECT	GO:0018298~protein-chromophore linkage	5	2.0746887966804977	0.017523486406612228	5723050, 5728187, 5719625, 5719633, 5720993	144	32	4507	4.890407986111111	0.8464850109186529	0.20638772878898848	0.2044406747438093
GOTERM_CC_DIRECT	GO:0009522~photosystem I	5	2.0746887966804977	0.017564068213544386	5723050, 5728187, 5719625, 5719633, 5720993	166	35	5706	4.910499139414802	0.7158151632016689	0.12470488431616514	0.12294847749481069
GOTERM_CC_DIRECT	GO:0009523~photosystem II	5	2.0746887966804977	0.019325711393976968	5723050, 5728187, 5719625, 5719633, 5720993	166	36	5706	4.774096385542169	0.7498157159614152	0.12473868263385134	0.12298179977985342

Annotation Cluster 5	Enrichment Score: 0.6674975351126952
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Membrane	45	18.672199170124482	0.0679462543227066	5715238, 5720328, 5715219, 5715517, 5725916, 5721478, 5721137, 5722667, 5722009, 5722284, 5723010, 5722100, 5717470, 5720043, 5723050, 5728187, 5722283, 5718002, 5718585, 5717594, 5718004, 5717896, 5716641, 5720919, 5719116, 5719633, 5720618, 5720839, 5715725, 5723704, 5720255, 5727888, 5727668, 5728910, 5720993, 5719083, 5727049, 5724690, 5728696, 5727023, 5722051, 5716179, 5717125, 5719625, 5718634	241	2118	14416	1.2709085138645633	0.9992881008423669	0.2691716998168761	0.22213198528577155
UP_KEYWORDS	Transmembrane	43	17.842323651452283	0.10182075557465357	5715238, 5715219, 5715517, 5725916, 5721478, 5721137, 5722667, 5722284, 5723010, 5722100, 5717470, 5720043, 5723050, 5728187, 5722283, 5718002, 5718585, 5717594, 5718004, 5717896, 5716641, 5720919, 5719116, 5719633, 5720618, 5720839, 5715725, 5723704, 5720255, 5727888, 5727668, 5728910, 5720993, 5719083, 5727049, 5724690, 5728696, 5727023, 5722051, 5716179, 5717125, 5719625, 5718634	241	2077	14416	1.2383964263810117	0.9999842822441029	0.3616392353168731	0.29844014564984667
UP_KEYWORDS	Transmembrane helix	38	15.767634854771783	0.3096573854645836	5715238, 5715219, 5715517, 5725916, 5721478, 5721137, 5722667, 5722284, 5723010, 5722100, 5717470, 5720043, 5722283, 5718002, 5718585, 5717594, 5718004, 5717896, 5716641, 5720919, 5719116, 5720618, 5720839, 5715725, 5723704, 5720255, 5727888, 5727668, 5728910, 5719083, 5727049, 5724690, 5728696, 5727023, 5722051, 5716179, 5717125, 5718634	241	2038	14416	1.1153396666653093	1.0	0.7973677675713028	0.6580219441122401
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	42	17.42738589211618	0.9979908997526559	5715238, 5720328, 5715219, 5715517, 5725916, 5721478, 5721137, 5722667, 5722284, 5723010, 5722100, 5717470, 5720043, 5723050, 5728187, 5722283, 5718002, 5718585, 5718004, 5717896, 5716641, 5720919, 5719633, 5720618, 5720839, 5715725, 5723704, 5720255, 5727888, 5727668, 5728910, 5720993, 5719083, 5727049, 5724690, 5728696, 5727023, 5722051, 5716179, 5717125, 5719625, 5718634	166	1986	5706	0.7269318967713755	1.0	1.0	1.0

Annotation Cluster 6	Enrichment Score: 0.1105773998008831
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Cilium	6	2.4896265560165975	0.6219540910264918	5722181, 5729096, 5726980, 5726042, 5727929, 5719752	241	321	14416	1.118082754876488	1.0	1.0	0.8333333333333334
UP_KEYWORDS	Flagellum	5	2.0746887966804977	0.7600865599375968	5722181, 5729096, 5726042, 5727929, 5719752	241	309	14416	0.9679195369885455	1.0	1.0	0.8333333333333334
GOTERM_CC_DIRECT	GO:0031514~motile cilium	5	2.0746887966804977	0.9854768314799982	5722181, 5729096, 5726042, 5727929, 5719752	166	320	5706	0.537085843373494	1.0	1.0	1.0

