Annotation Cluster 1	Enrichment Score: 27.261099298831727
UP_KEYWORDS	Nucleus	32	20.253164556962027	2.2129339348887986E-23	5721959, 5716449, 5728909, 5721835, 5721930, 5721776, 5723810, 5725955, 5728507, 5721954, 5721892, 5728603, 5721972, 5721692, 5726025, 5726000, 5716482, 5717133, 5717177, 5716484, 5716266, 5716466, 5723807, 5716318, 5721901, 5721749, 5721962, 5721766, 5721781, 5726011, 5717168, 5716454	158	266	14416	10.976301513276862	1.748217808562151E-21	4.370544521405377E-22	3.596017644194298E-22
GOTERM_CC_DIRECT	GO:0000786~nucleosome	30	18.9873417721519	2.4740918087125437E-23	5721959, 5716449, 5721835, 5721930, 5721776, 5723810, 5725955, 5728507, 5721954, 5721892, 5728603, 5721972, 5726025, 5726000, 5716482, 5717133, 5717177, 5716484, 5716266, 5716466, 5723807, 5716318, 5721901, 5721749, 5721962, 5721766, 5721781, 5726011, 5717168, 5716454	116	130	5706	11.351458885941646	1.3854914128790244E-21	1.3854914128790244E-21	1.3112686586176481E-21
GOTERM_MF_DIRECT	GO:0003677~DNA binding	30	18.9873417721519	1.707925696500787E-11	5721959, 5716449, 5721835, 5721930, 5721776, 5723810, 5725955, 5728507, 5721954, 5721892, 5728603, 5721972, 5726025, 5726000, 5716482, 5717133, 5717177, 5716484, 5716266, 5716466, 5723807, 5716318, 5721901, 5721749, 5721962, 5721766, 5721781, 5726011, 5717168, 5716454	113	379	6102	4.274406332453826	1.4175758344947553E-9	7.087891640478266E-10	7.087891640478266E-10
GOTERM_CC_DIRECT	GO:0005634~nucleus	34	21.518987341772153	4.813109052462576E-7	5721959, 5716449, 5728909, 5721835, 5721930, 5721776, 5723810, 5725955, 5728507, 5721954, 5721892, 5728603, 5721972, 5721692, 5726025, 5726000, 5716482, 5717133, 5717177, 5716484, 5716266, 5716466, 5723807, 5716318, 5721901, 5721749, 5721962, 5721766, 5727204, 5721781, 5726011, 5717168, 5716454, 5716930	116	667	5706	2.507418704440883	2.6953053939959837E-5	8.984470231263476E-6	8.503159326017218E-6

Annotation Cluster 2	Enrichment Score: 15.677826865840675
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Ribonucleoprotein	25	15.822784810126583	1.2513754764782049E-19	5716844, 5720945, 5722589, 5725138, 5725358, 5726664, 5719095, 5717299, 5721805, 5715546, 5715848, 5715904, 5722438, 5720458, 5727924, 5725206, 5729217, 5726114, 5724234, 5726079, 5727201, 5727882, 5715022, 5728094, 5718833	158	180	14416	12.672292545710269	9.885866264177819E-18	1.9771732528355637E-18	1.6267881194216663E-18
UP_KEYWORDS	Ribosomal protein	24	15.18987341772152	4.1327923057431135E-19	5721805, 5715546, 5716844, 5720945, 5715848, 5715904, 5722589, 5727924, 5722438, 5720458, 5725206, 5725138, 5729217, 5725358, 5726114, 5726079, 5724234, 5719095, 5727201, 5727882, 5715022, 5717299, 5728094, 5718833	158	168	14416	13.034358047016276	3.2649059215370595E-17	5.441509869228433E-18	4.47719166455504E-18
KEGG_PATHWAY	cre03010:Ribosome	24	15.18987341772152	4.567649578282187E-15	5721805, 5715546, 5716844, 5720945, 5715848, 5715904, 5722589, 5727924, 5722438, 5720458, 5725206, 5725138, 5729217, 5725358, 5726114, 5726079, 5724234, 5719095, 5727201, 5727882, 5715022, 5717299, 5728094, 5718833	50	134	1930	6.913432835820895	1.3200551762793111E-13	1.3246183777018342E-13	1.3246183777018342E-13
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	24	15.18987341772152	8.229406937675622E-12	5721805, 5715546, 5716844, 5720945, 5715848, 5715904, 5722589, 5727924, 5722438, 5720458, 5725206, 5725138, 5729217, 5725358, 5726114, 5726079, 5724234, 5719095, 5727201, 5727882, 5715022, 5717299, 5728094, 5718833	113	224	6102	5.785714285714286	6.830416232617154E-10	6.830407758270766E-10	6.830407758270766E-10

Annotation Cluster 3	Enrichment Score: 2.083181653177235
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Photosystem I	5	3.1645569620253164	6.079428859722401E-4	5716179, 5722300, 5719625, 5719633, 5720993	158	36	14416	12.672292545710267	0.04690633223971408	0.006003435998975871	0.004939535948524451
UP_KEYWORDS	Photosynthesis	5	3.1645569620253164	0.011288220178469416	5716179, 5722300, 5719625, 5719633, 5720993	158	80	14416	5.7025316455696204	0.5921438906392965	0.07431411617492366	0.06114452596670934
UP_KEYWORDS	Thylakoid	5	3.1645569620253164	0.01386340344071705	5716179, 5722300, 5719625, 5719633, 5720993	158	85	14416	5.367088607594937	0.6680833629885294	0.08424683629358821	0.06931701720358524
GOTERM_CC_DIRECT	GO:0010287~plastoglobule	4	2.5316455696202533	0.04885570366768593	5722300, 5719625, 5719633, 5720993	116	41	5706	4.798990748528174	0.9394939440197675	0.3908456293414874	0.3699074706267649

Annotation Cluster 4	Enrichment Score: 1.0766396803675655
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Magnesium	4	2.5316455696202533	0.04532963126360011	5722217, 5719625, 5719633, 5720993	158	73	14416	4.999479798855557	0.9743892674510586	0.19640830657383754	0.1616017712316385
UP_KEYWORDS	Chlorophyll	3	1.89873417721519	0.047237440821555864	5719625, 5719633, 5720993	158	32	14416	8.55379746835443	0.9781329649615573	0.19640830657383754	0.1616017712316385
UP_KEYWORDS	Chromophore	3	1.89873417721519	0.047237440821555864	5719625, 5719633, 5720993	158	32	14416	8.55379746835443	0.9781329649615573	0.19640830657383754	0.1616017712316385
GOTERM_CC_DIRECT	GO:0010287~plastoglobule	4	2.5316455696202533	0.04885570366768593	5722300, 5719625, 5719633, 5720993	116	41	5706	4.798990748528174	0.9394939440197675	0.3908456293414874	0.3699074706267649
INTERPRO	IPR001344:Chlorophyll A-B binding protein, plant	3	1.89873417721519	0.054495566015460295	5719625, 5719633, 5720993	138	25	9041	7.861739130434782	0.9999983859030411	1.0	1.0
INTERPRO	IPR023329:Chlorophyll a/b binding protein domain	3	1.89873417721519	0.06669203237123467	5719625, 5719633, 5720993	138	28	9041	7.019409937888198	0.9999999265581394	1.0	1.0
GOTERM_MF_DIRECT	GO:0031409~pigment binding	3	1.89873417721519	0.07618846394875498	5719625, 5719633, 5720993	113	25	6102	6.4799999999999995	0.9986087004727506	1.0	1.0
UP_KEYWORDS	Photosystem II	3	1.89873417721519	0.08612039762162538	5719625, 5719633, 5720993	158	45	14416	6.082700421940928	0.9991867393842007	0.32397673390992404	0.26656313549550714
GOTERM_BP_DIRECT	GO:0009768~photosynthesis, light harvesting in photosystem I	3	1.89873417721519	0.09646148661184761	5719625, 5719633, 5720993	96	25	4507	5.63375	0.9988820385425498	0.9232742289991128	0.9232742289991128
KEGG_PATHWAY	cre00196:Photosynthesis - antenna proteins	3	1.89873417721519	0.10573302865238353	5719625, 5719633, 5720993	50	22	1930	5.263636363636364	0.9608665139924187	1.0	1.0
GOTERM_BP_DIRECT	GO:0009416~response to light stimulus	3	1.89873417721519	0.12378381806979454	5719625, 5719633, 5720993	96	29	4507	4.856681034482759	0.9998571253915333	1.0	1.0
GOTERM_MF_DIRECT	GO:0016168~chlorophyll binding	3	1.89873417721519	0.12832946790125568	5719625, 5719633, 5720993	113	34	6102	4.764705882352941	0.9999887992722083	1.0	1.0
GOTERM_BP_DIRECT	GO:0018298~protein-chromophore linkage	3	1.89873417721519	0.1453477369254746	5719625, 5719633, 5720993	96	32	4507	4.4013671875	0.9999730912858069	1.0	1.0
GOTERM_CC_DIRECT	GO:0009522~photosystem I	3	1.89873417721519	0.15627514599169717	5719625, 5719633, 5720993	116	35	5706	4.216256157635468	0.9999263373767179	0.7625317864711161	0.7216818693387349
GOTERM_CC_DIRECT	GO:0009523~photosystem II	3	1.89873417721519	0.16339966852952487	5719625, 5719633, 5720993	116	36	5706	4.099137931034483	0.9999541847764756	0.7625317864711161	0.7216818693387349

Annotation Cluster 5	Enrichment Score: 0.4174418312164299
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR012677:Nucleotide-binding, alpha-beta plait	4	2.5316455696202533	0.16317924789353636	5726664, 5721707, 5720945, 5715399	138	92	9041	2.8484562066792694	1.0	1.0	1.0
INTERPRO	IPR000504:RNA recognition motif domain	3	1.89873417721519	0.34822187678712097	5726664, 5721707, 5715399	138	81	9041	2.4264626945786367	1.0	1.0	1.0
SMART	SM00360:RRM	3	1.89873417721519	0.39737782719013304	5726664, 5721707, 5715399	56	74	2990	2.164575289575289	0.9999912695332781	1.0	1.0
GOTERM_MF_DIRECT	GO:0000166~nucleotide binding	4	2.5316455696202533	0.5499615574031025	5726664, 5721707, 5720945, 5715399	113	156	6102	1.3846153846153846	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0003676~nucleic acid binding	4	2.5316455696202533	0.6587701328689501	5726664, 5721707, 5715399, 5726191	113	183	6102	1.180327868852459	1.0	1.0	1.0

Annotation Cluster 6	Enrichment Score: 0.24771267565218788
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Flagellum	5	3.1645569620253164	0.4353063141775722	5722181, 5729096, 5726042, 5727929, 5719752	158	309	14416	1.4763835975584778	1.0	1.0	0.8333333333333334
UP_KEYWORDS	Cilium	5	3.1645569620253164	0.4642539689451826	5722181, 5729096, 5726042, 5727929, 5719752	158	321	14416	1.4211916873693757	1.0	1.0	0.8333333333333334
GOTERM_CC_DIRECT	GO:0031514~motile cilium	5	3.1645569620253164	0.8939461968677305	5722181, 5729096, 5726042, 5727929, 5719752	116	320	5706	0.7685883620689655	1.0	1.0	0.9636363636363636

Annotation Cluster 7	Enrichment Score: 0.06631017981712406
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Transmembrane	21	13.291139240506327	0.7579362607383968	5715238, 5720618, 5715219, 5721137, 5721478, 5720255, 5727888, 5720993, 5728910, 5719083, 5723010, 5722100, 5728696, 5718004, 5716179, 5716641, 5717896, 5720919, 5719116, 5719625, 5719633	158	2077	14416	0.9225087303376949	1.0	1.0	0.8333333333333334
UP_KEYWORDS	Membrane	21	13.291139240506327	0.7879744847463415	5715238, 5720618, 5715219, 5721137, 5721478, 5720255, 5727888, 5720993, 5728910, 5719083, 5723010, 5722100, 5728696, 5718004, 5716179, 5716641, 5717896, 5720919, 5719116, 5719625, 5719633	158	2118	14416	0.904650912611611	1.0	1.0	0.8333333333333334
UP_KEYWORDS	Transmembrane helix	18	11.39240506329114	0.9091086851685329	5715238, 5720618, 5715219, 5721137, 5721478, 5720255, 5727888, 5728910, 5719083, 5723010, 5722100, 5728696, 5718004, 5716179, 5716641, 5717896, 5720919, 5719116	158	2038	14416	0.8058533434367275	1.0	1.0	0.9091086851685329
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	20	12.658227848101266	0.9999968550954621	5715238, 5720618, 5715219, 5721137, 5721478, 5720255, 5727888, 5720993, 5728910, 5719083, 5723010, 5722100, 5728696, 5718004, 5716179, 5716641, 5717896, 5720919, 5719625, 5719633	116	1986	5706	0.49536410042712786	1.0	1.0	0.9999968550954621

