KEGG Pathway	Hits	Score	Phytozome v5 Transcript IDs
Melanogenesis	6	0.18832	Cre13.g607300.t1.2, Cre01.g051250.t1.2, Cre03.g199000.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3
MAPK signaling pathway - fly	4	0.19538	Cre13.g607300.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3
Biosynthesis of siderophore group nonribosomal peptides	1	0.19953	Cre10.g448500.t1.3
D-Glutamine and D-glutamate metabolism	1	0.19953	Cre09.g388800.t1.2
Starch and sucrose metabolism	12	0.20032	Cre12.g552200.t1.2, Cre10.g444700.t1.1, Cre12.g488000.t1.2, Cre08.g384750.t1.1, Cre16.g683450.t1.2, Cre03.g194700.t1.3, Cre04.g226600.t1.3, Cre06.g270500.t1.3, Cre07.g320850.t1.2, Cre17.g730600.t1.1, Cre17.g711200.t1.2, Cre06.g283400.t1.2
Vasopressin-regulated water reabsorption	5	0.20286	Cre11.g476050.t1.2, Cre06.g297850.t1.3, Cre17.g720050.t1.2, Cre01.g019850.t1.3, Cre03.g199000.t1.2
Tropane, piperidine and pyridine alkaloid biosynthesis	3	0.2046	Cre01.g000650.t1.3, Cre16.g682100.t1.2, Cre02.g105150.t1.3
GnRH signaling pathway	6	0.20523	Cre13.g607300.t1.2, Cre01.g051250.t1.2, Cre03.g199000.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3
Two-component system	6	0.20523	Cre13.g590500.t1.1, Cre12.g498500.t1.2, Cre13.g571200.t1.3, Cre03.g207250.t1.2, Cre06.g251250.t1.3, Cre01.g013300.t1.1
Oocyte meiosis	21	0.21443	Cre13.g567800.t1.2, Cre12.g559250.t1.2, Cre13.g607300.t1.2, Cre08.g380400.t1.2, Cre13.g562950.t1.3, Cre10.g451400.t1.3, Cre01.g051250.t1.2, Cre13.g575650.t1.3, Cre03.g199000.t1.2, Cre06.g249150.t1.3, Cre12.g494500.t1.2, Cre17.g723300.t1.3, Cre04.g228300.t1.3, Cre12.g498650.t1.2, Cre12.g551250.t1.2, Cre13.g592000.t1.2, Cre10.g432250.t1.3, Cre17.g735550.t1.3, Cre01.g029200.t1.3, Cre07.g323100.t1.3, Cre14.g628200.t1.3
Fatty acid biosynthesis	4	0.21827	Cre03.g172000.t1.2, Cre12.g484000.t1.2, Cre02.g088250.t1.2, Cre01.g028600.t1.2
Limonene and pinene degradation	4	0.21827	Cre12.g500150.t1.1, Cre02.g103100.t1.1, Cre09.g415850.t1.2, Cre10.g427350.t1.3
mTOR signaling pathway	6	0.22266	Cre13.g607300.t1.2, Cre09.g400650.t1.2, Cre13.g570250.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3, Cre03.g169100.t1.3
Neurotrophin signaling pathway	9	0.22719	Cre12.g559250.t1.2, Cre13.g607300.t1.2, Cre01.g051250.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3, Cre03.g177550.t1.2, Cre10.g446700.t1.2, Cre08.g380600.t1.3
beta-Alanine metabolism	3	0.23348	Cre01.g000650.t1.3, Cre12.g500150.t1.1, Cre02.g090150.t1.2
Endocytosis	10	0.23491	Cre08.g372100.t1.2, Cre06.g250100.t1.2, Cre12.g523050.t1.3, Cre16.g678100.t1.2, Cre01.g024300.t1.2, Cre03.g204800.t1.2, Cre17.g716450.t1.3, Cre12.g533750.t1.3, Cre16.g664450.t1.3, Cre01.g022100.t1.2
Glycine, serine and threonine metabolism	7	0.23678	Cre09.g411900.t1.2, Cre02.g073200.t1.2, Cre01.g000650.t1.3, Cre03.g193750.t1.3, Cre06.g301650.t1.2, Cre07.g334350.t1.2, Cre03.g172250.t1.3
Progesterone-mediated oocyte maturation	13	0.23901	Cre12.g514850.t1.2, Cre13.g607300.t1.2, Cre08.g380400.t1.2, Cre13.g562950.t1.3, Cre13.g575650.t1.3, Cre03.g199000.t1.2, Cre06.g249150.t1.3, Cre12.g494500.t1.2, Cre17.g723300.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3, Cre07.g323100.t1.3, Cre14.g628200.t1.3
Aldosterone-regulated sodium reabsorption	4	0.24182	Cre13.g607300.t1.2, Cre12.g551250.t1.2, Cre10.g432250.t1.3, Cre03.g169100.t1.3
Endometrial cancer	5	0.24278	Cre13.g607300.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3, Cre03.g169100.t1.3
Renal cell carcinoma	5	0.24278	Cre13.g607300.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3, Cre03.g206800.t1.3
Alzheimer's disease	13	0.25039	Cre12.g485150.t1.2, Cre07.g327400.t1.1, Cre15.g638500.t1.2, Cre01.g051900.t1.2, Cre13.g607300.t1.2, Cre16.g680000.t1.2, Cre01.g051250.t1.2, Cre16.g679500.t1.2, Cre12.g551250.t1.2, Cre10.g432250.t1.3, Cre17.g732000.t1.3, Cre04.g221700.t1.2, Cre10.g448850.t1.2
Biosynthesis of terpenoids and steroids	15	0.25672	Cre16.g663950.t1.2, Cre03.g149100.t1.2, Cre04.g214500.t1.3, Cre06.g280950.t1.2, Cre12.g527400.t1.3, Cre01.g022500.t1.2, Cre17.g703700.t1.1, Cre12.g485150.t1.2, Cre03.g194200.t1.2, Cre02.g145800.t1.2, Cre05.g234700.t1.3, Cre03.g166950.t1.2, Cre07.g354250.t1.2, Cre03.g149650.t1.3, Cre02.g086500.t1.2
Focal adhesion	8	0.26267	Cre13.g607300.t1.2, Cre01.g029850.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3, Cre06.g249300.t1.2, Cre03.g169100.t1.3, Cre10.g448850.t1.2
Cardiac muscle contraction	3	0.26303	Cre15.g638500.t1.2, Cre01.g051900.t1.2, Cre04.g221700.t1.2
Reductive carboxylate cycle (CO2 fixation)	3	0.26303	Cre04.g214500.t1.3, Cre07.g353450.t1.2, Cre03.g171950.t1.3
Glyoxylate and dicarboxylate metabolism	5	0.26348	Cre03.g171300.t1.2, Cre03.g149100.t1.2, Cre06.g282800.t1.2, Cre02.g145800.t1.2, Cre16.g689700.t1.3
Type II diabetes mellitus	5	0.26348	Cre06.g280950.t1.2, Cre13.g607300.t1.2, Cre05.g234700.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3
Acute myeloid leukemia	4	0.26592	Cre13.g607300.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3
Melanoma	4	0.26592	Cre13.g607300.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3
Thyroid cancer	4	0.26592	Cre13.g607300.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3
gamma-Hexachlorocyclohexane degradation	6	0.27754	Cre01.g002050.t1.2, Cre07.g340850.t1.2, Cre06.g259650.t1.2, Cre02.g103100.t1.1, Cre09.g396450.t1.3, Cre10.g427350.t1.3
Benzoate degradation via hydroxylation	1	0.28386	Cre17.g723650.t1.2
Peptidoglycan biosynthesis	1	0.28386	Cre12.g519900.t1.2
Phosphonate and phosphinate metabolism	1	0.28386	Cre12.g539000.t1.2
Styrene degradation	1	0.28386	Cre02.g091200.t1.3
Cyanoamino acid metabolism	2	0.28446	Cre09.g411900.t1.2, Cre07.g320850.t1.2
Glioma	5	0.28456	Cre13.g607300.t1.2, Cre01.g051250.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3
Inositol phosphate metabolism	5	0.28456	Cre16.g675650.t1.2, Cre06.g270200.t1.3, Cre12.g523050.t1.3, Cre12.g555450.t1.2, Cre08.g376100.t1.2
Oxidative phosphorylation	12	0.29558	Cre02.g076350.t1.2, Cre03.g164600.t1.2, Cre07.g327400.t1.1, Cre15.g638500.t1.2, Cre01.g051900.t1.2, Cre03.g199800.t1.1, Cre16.g680000.t1.2, Cre09.g406400.t1.3, Cre16.g679500.t1.2, Cre06.g257450.t1.2, Cre17.g732000.t1.3, Cre04.g221700.t1.2
Parkinson's disease	10	0.30326	Cre09.g386400.t1.2, Cre07.g327400.t1.1, Cre15.g638500.t1.2, Cre01.g051900.t1.2, Cre16.g680000.t1.2, Cre16.g679500.t1.2, Cre17.g732000.t1.3, Cre04.g221700.t1.2, Cre03.g194250.t1.2, Cre09.g394800.t1.3
alpha-Linolenic acid metabolism	2	0.32524	Cre16.g695050.t1.2, Cre12.g512300.t1.2
Phosphatidylinositol signaling system	5	0.32756	Cre06.g270200.t1.3, Cre12.g523050.t1.3, Cre12.g489050.t1.2, Cre01.g051250.t1.2, Cre08.g376100.t1.2
B cell receptor signaling pathway	4	0.34019	Cre13.g607300.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3
Galactose metabolism	4	0.34019	Cre12.g488000.t1.2, Cre03.g194700.t1.3, Cre10.g440050.t1.2, Cre10.g432900.t1.2
Pancreatic cancer	4	0.34019	Cre13.g607300.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3
Valine, leucine and isoleucine degradation	4	0.34019	Cre16.g675650.t1.2, Cre12.g500150.t1.1, Cre17.g723650.t1.2, Cre02.g081400.t1.2
Gap junction	12	0.34744	Cre13.g607300.t1.2, Cre03.g199000.t1.2, Cre03.g172650.t1.2, Cre06.g249150.t1.3, Cre07.g321000.t1.3, Cre01.g021700.t1.3, Cre17.g723300.t1.3, Cre03.g200800.t1.3, Cre10.g431250.t1.3, Cre12.g551250.t1.2, Cre12.g518350.t1.3, Cre10.g432250.t1.3
Olfactory transduction	3	0.35335	Cre01.g051250.t1.2, Cre03.g199000.t1.2, Cre17.g706900.t1.2
Atrazine degradation	1	0.35932	Cre12.g509600.t1.3
Circadian rhythm - mammal	1	0.35932	Cre12.g534550.t1.1
Primary immunodeficiency	1	0.35932	Cre03.g161000.t1.3
Biotin metabolism	2	0.36538	Cre06.g296750.t1.2, Cre10.g428950.t1.2
Folate biosynthesis	2	0.36538	Cre03.g176800.t1.3, Cre02.g116000.t1.3
Alanine, aspartate and glutamate metabolism	5	0.37115	Cre01.g004300.t1.2, Cre10.g451950.t1.2, Cre12.g528450.t1.2, Cre09.g388800.t1.2, Cre03.g207250.t1.2
Pantothenate and CoA biosynthesis	3	0.38336	Cre02.g081400.t1.2, Cre02.g090150.t1.2, Cre13.g572500.t1.2
Linoleic acid metabolism	4	0.39018	Cre08.g370550.t1.3, Cre12.g512300.t1.2, Cre10.g461900.t1.2, Cre07.g340850.t1.2
Natural killer cell mediated cytotoxicity	4	0.39018	Cre13.g607300.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3
Axon guidance	5	0.39298	Cre13.g607300.t1.2, Cre01.g029850.t1.2, Cre01.g014500.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3
Huntington's disease	15	0.39393	Cre16.g685450.t1.3, Cre02.g107350.t1.3, Cre03.g180800.t1.1, Cre12.g506000.t1.2, Cre07.g327400.t1.1, Cre15.g638500.t1.2, Cre01.g051900.t1.2, Cre13.g605150.t1.2, Cre02.g096150.t1.2, Cre16.g680000.t1.2, Cre16.g679500.t1.2, Cre17.g732000.t1.3, Cre04.g221700.t1.2, Cre15.g641200.t1.2, Cre09.g394800.t1.3
Vascular smooth muscle contraction	12	0.40076	Cre13.g607300.t1.2, Cre01.g051250.t1.2, Cre01.g029850.t1.2, Cre03.g199000.t1.2, Cre06.g249150.t1.3, Cre07.g321000.t1.3, Cre01.g021700.t1.3, Cre03.g200800.t1.3, Cre10.g431250.t1.3, Cre12.g551250.t1.2, Cre12.g518350.t1.3, Cre10.g432250.t1.3
Dilated cardiomyopathy	2	0.40457	Cre03.g199000.t1.2, Cre06.g249300.t1.2
Leukocyte transendothelial migration	2	0.40457	Cre01.g029850.t1.2, Cre06.g249300.t1.2
Fc gamma R-mediated phagocytosis	7	0.41175	Cre12.g530550.t1.3, Cre12.g523050.t1.3, Cre13.g607300.t1.2, Cre16.g648100.t1.3, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3
Arachidonic acid metabolism	3	0.41304	Cre13.g585900.t1.2, Cre10.g458450.t1.3, Cre16.g688550.t1.2
Naphthalene and anthracene degradation	6	0.4135	Cre03.g172550.t1.2, Cre13.g571950.t1.2, Cre06.g273413.t1.3, Cre02.g103100.t1.1, Cre03.g169700.t1.2, Cre10.g427350.t1.3
Colorectal cancer	4	0.41502	Cre13.g607300.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3
Ethylbenzene degradation	1	0.42684	Cre09.g415850.t1.2
Lipoic acid metabolism	1	0.42684	Cre16.g675250.t1.3
Tetracycline biosynthesis	1	0.42684	Cre12.g484000.t1.2
Butanoate metabolism	5	0.43641	Cre12.g500150.t1.1, Cre03.g194200.t1.2, Cre12.g534350.t1.2, Cre08.g370550.t1.3, Cre10.g461900.t1.2
Fc epsilon RI signaling pathway	4	0.43962	Cre13.g607300.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3
Bisphenol A degradation	3	0.44226	Cre08.g370550.t1.3, Cre10.g461900.t1.2, Cre02.g103100.t1.1
Lysine degradation	3	0.44226	Cre12.g500150.t1.1, Cre02.g105150.t1.3, Cre10.g428950.t1.2
Methane metabolism	3	0.44226	Cre09.g411900.t1.2, Cre09.g417150.t1.2, Cre10.g431550.t1.1
Sulfur metabolism	3	0.44226	Cre03.g180300.t1.2, Cre01.g039350.t1.2, Cre16.g683550.t1.2
Arginine and proline metabolism	10	0.46445	Cre12.g500150.t1.1, Cre08.g369300.t1.2, Cre10.g443050.t1.2, Cre10.g424900.t1.2, Cre09.g388800.t1.2, Cre17.g705700.t1.2, Cre02.g084450.t1.2, Cre02.g084400.t1.2, Cre01.g053300.t1.3, Cre03.g207250.t1.2
Calcium signaling pathway	7	0.46539	Cre06.g270200.t1.3, Cre02.g145100.t1.3, Cre09.g388850.t1.1, Cre12.g530550.t1.3, Cre01.g051250.t1.2, Cre03.g199000.t1.2, Cre09.g394800.t1.3
Meiosis - yeast	12	0.4679	Cre06.g295700.t1.3, Cre13.g567800.t1.2, Cre06.g270250.t1.3, Cre08.g380400.t1.2, Cre13.g562950.t1.3, Cre10.g451400.t1.3, Cre16.g661100.t1.2, Cre03.g199000.t1.2, Cre01.g029200.t1.3, Cre01.g036250.t1.2, Cre16.g676800.t1.2, Cre03.g194900.t1.3
Long-term potentiation	6	0.47178	Cre13.g607300.t1.2, Cre01.g051250.t1.2, Cre03.g199000.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3
Tyrosine metabolism	8	0.47618	Cre01.g000650.t1.3, Cre02.g091200.t1.3, Cre10.g431550.t1.1, Cre03.g172550.t1.2, Cre13.g571950.t1.2, Cre06.g273413.t1.3, Cre09.g415850.t1.2, Cre03.g169700.t1.2
Drug metabolism - cytochrome P450	5	0.47911	Cre01.g044700.t1.2, Cre12.g559800.t1.2, Cre10.g431550.t1.1, Cre07.g340850.t1.2, Cre03.g168900.t1.2
Porphyrin and chlorophyll metabolism	7	0.48305	Cre02.g076300.t1.3, Cre12.g498550.t1.3, Cre12.g525700.t1.2, Cre12.g510800.t1.2, Cre01.g005850.t1.2, Cre13.g587100.t1.2, Cre13.g583050.t1.3
High-mannose type N-glycan biosynthesis	1	0.48726	Cre12.g537500.t1.3
Chronic myeloid leukemia	4	0.48783	Cre13.g607300.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3
Glutathione metabolism	6	0.49087	Cre12.g526800.t1.2, Cre01.g044700.t1.2, Cre04.g214500.t1.3, Cre17.g708800.t1.3, Cre10.g458450.t1.3, Cre12.g559800.t1.2
Nicotinate and nicotinamide metabolism	3	0.49884	Cre12.g528450.t1.2, Cre06.g251450.t1.3, Cre06.g271050.t1.3
TGF-beta signaling pathway	4	0.5113	Cre13.g607300.t1.2, Cre01.g029850.t1.2, Cre12.g551250.t1.2, Cre10.g432250.t1.3
Apoptosis	2	0.51427	Cre03.g199000.t1.2, Cre10.g448850.t1.2
Circadian rhythm - plant	2	0.51427	Cre01.g040150.t1.2, Cre06.g275350.t1.3
